Majority protein IDs,First Majority protein IDs,Fasta headers,Ratio H/L MSZ08-1_Insol,Ratio H/L MSZ08-2_Insol,Ratio H/L MSZ08-3_Insol,Log2 Ratio H/L MSZ08-1_Insol,Log2 Ratio H/L MSZ08-2_Insol,Log2 Ratio H/L MSZ08-3_Insol,rank,percent rank,Average Log2 Ratio H/L Insol,Insol Average after TCL Median correction
YMR192W,YMR192W,">YMR192W GYL1 SGDID:S000004804, Chr XIII from 647118-649280, Genome Release 64-1-1, Verified ORF, Putative GTPase activating protein (GAP) with a role in exocytosis; stimulates Gyp5p GAP activity on Ypt1p, colocalizes with Gyp5p at sites of polarized grow",28.205,35.275,335.18,4.817879032,5.140574178,8.388792257,12,0.004691165,6.115748489,6.635483368
YDR454C,YDR454C,">YDR454C GUK1 SGDID:S000002862, Chr IV from 1366827-1366264, Genome Release 64-1-1, reverse complement, Verified ORF, Guanylate kinase, converts GMP to GDP; required for growth and mannose outer chain elongation of cell wall N-linked glycoproteins",58.834,53.207,90.345,5.87857822,5.733544156,6.497372855,13,0.005082095,6.03649841,6.55623329
YGR286C,YGR286C,">YGR286C BIO2 SGDID:S000003518, Chr VII from 1064940-1063813, Genome Release 64-1-1, reverse complement, Verified ORF, Biotin synthase, catalyzes the conversion of dethiobiotin to biotin, which is the last step of the biotin biosynthesis pathway; compleme",39.231,153.73,45.526,5.293922205,7.26425492,5.508618802,14,0.005473026,6.022265309,6.542000188
YOR216C,YOR216C,">YOR216C RUD3 SGDID:S000005742, Chr XV from 748979-747525, Genome Release 64-1-1, reverse complement, Verified ORF, Golgi matrix protein involved in the structural organization of the cis-Golgi; interacts genetically with COG3 and USO1",37.256,49.415,130.27,5.219400882,5.626877135,7.025361072,15,0.005863956,5.95721303,6.476947909
YJL200C,YJL200C,">YJL200C ACO2 SGDID:S000003736, Chr X from 58813-56444, Genome Release 64-1-1, reverse complement, Verified ORF, Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on gl",59.865,59.036,65.338,5.903640874,5.883523069,6.029850389,16,0.006254887,5.939004778,6.458739657
YCR051W,YCR051W,">YCR051W YCR051W SGDID:S000000647, Chr III from 214071-214739, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; contains ankyrin (Ank) ",41.637,127.26,36.468,5.379794219,6.991635216,5.188559176,17,0.006645817,5.853329537,6.373064416
YDR320C,YDR320C,">YDR320C SWA2 SGDID:S000002728, Chr IV from 1108101-1106095, Genome Release 64-1-1, reverse complement, Verified ORF, Auxilin-like protein involved in vesicular transport; clathrin-binding protein required for uncoating of clathrin-coated vesicles",49.553,76.84,44.091,5.630900497,6.263785614,5.462412293,18,0.007036747,5.785699468,6.305434347
YOR163W,YOR163W,">YOR163W DDP1 SGDID:S000005689, Chr XV from 642741-643307, Genome Release 64-1-1, Verified ORF, Polyphosphate phosphatase; hydrolyzes diphosphorylated inositol polyphosphates and diadenosine polyphosphates; has high specificity for diadenosine hexa- and p",45.406,43.851,82.691,5.504811044,5.454537838,6.369658411,19,0.007427678,5.776335765,6.296070644
YPR072W,YPR072W,">YPR072W NOT5 SGDID:S000006276, Chr XVI from 690107-691789, Genome Release 64-1-1, Verified ORF, Subunit of the CCR4-NOT complex, which is a global transcriptional regulator with roles in transcription initiation and elongation and in mRNA degradation",66.681,50.646,48.165,6.059203835,5.662376425,5.589913261,20,0.007818608,5.77049784,6.29023272
YIL093C,YIL093C,">YIL093C RSM25 SGDID:S000001355, Chr IX from 188784-187990, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the small subunit",36.449,56.219,73.553,5.187807329,5.812985887,6.200712281,21,0.008209539,5.733835165,6.253570045
YGR084C,YGR084C,">YGR084C MRP13 SGDID:S000003316, Chr VII from 648142-647123, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the small subunit",28.443,55.648,94.157,4.830001735,5.798257933,6.556996449,22,0.008600469,5.728418706,6.248153585
YIR006C,YIR006C,">YIR006C PAN1 SGDID:S000001445, Chr IX from 369908-365466, Genome Release 64-1-1, reverse complement, Verified ORF, Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p, associates with actin patches on the cell cortex; promotes protein-protein",48.51,38.903,76.62,5.600210274,5.281809508,6.259649121,23,0.0089914,5.713889634,6.233624514
YLR022C,YLR022C,">YLR022C SDO1 SGDID:S000004012, Chr XII from 184926-184174, Genome Release 64-1-1, reverse complement, Verified ORF, Essential protein involved in 60S ribosome maturation; ortholog of the human protein (SBDS) responsible for autosomal recessive Shwachman-",41.981,48.751,70.11,5.391664627,5.607359907,6.13154833,24,0.00938233,5.710190955,6.229925834
YKR071C,YKR071C,">YKR071C DRE2 SGDID:S000001779, Chr XI from 575980-574934, Genome Release 64-1-1, reverse complement, Verified ORF, Conserved component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery; contains an Fe-S cluster that receives electro",39.529,35.941,98.558,5.304839553,5.167558645,6.622901075,25,0.00977326,5.698433091,6.21816797
YPR148C,YPR148C,">YPR148C YPR148C SGDID:S000006352, Chr XVI from 828140-826833, Genome Release 64-1-1, reverse complement, Verified ORF, Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fus",56.267,44.501,55.573,5.81421714,5.475765851,5.796312218,26,0.010164191,5.695431736,6.215166616
YER159C,YER159C,">YER159C BUR6 SGDID:S000000961, Chr V from 491958-491530, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of a heterodimeric NC2 transcription regulator complex with Ncb2p; complex binds to TBP and can repress transcription by preventing ",37.195,37.71,97.24,5.217036793,5.236875245,6.603477988,27,0.010555121,5.685796675,6.205531555
YNL173C,YNL173C,">YNL173C MDG1 SGDID:S000005117, Chr XIV from 310057-308957, Genome Release 64-1-1, reverse complement, Verified ORF, Plasma membrane protein involved in G-protein mediated pheromone signaling pathway; overproduction suppresses bem1 mutations",30.374,51.014,84.081,4.924765007,5.672821322,6.393707923,28,0.010946052,5.66376475,6.18349963
YDR168W,YDR168W,">YDR168W CDC37 SGDID:S000002575, Chr IV from 790328-791848, Genome Release 64-1-1, Verified ORF, Essential Hsp90p co-chaperone; necessary for passage through the START phase of the cell cycle; stabilizes protein kinase nascent chains and participates alon",51.393,33.319,74.572,5.683499965,5.058273197,6.22056213,29,0.011336982,5.654111764,6.173846643
YER016W,YER016W,">YER016W BIM1 SGDID:S000000818, Chr V from 188277-189311, Genome Release 64-1-1, Verified ORF, Microtubule-binding protein that together with Kar9p makes up the cortical microtubule capture site and delays the exit from mitosis when the spindle is oriente",41.68,27.639,109.26,5.381283373,4.788633514,6.771621518,30,0.011727912,5.647179468,6.166914347
YBL067C,YBL067C,">YBL067C UBP13 SGDID:S000000163, Chr II from 95882-93639, Genome Release 64-1-1, reverse complement, Verified ORF, Putative ubiquitin carboxyl-terminal hydrolase, ubiquitin-specific protease that cleaves ubiquitin-protein fusions",15.518,915.37,8.2117,3.955870726,9.8382112,3.037680922,31,0.012118843,5.610587616,6.130322495
YHL013C,YHL013C,">YHL013C OTU2 SGDID:S000001005, Chr VIII from 78353-77430, Genome Release 64-1-1, reverse complement, Verified ORF, Protein of unknown function that may interact with ribosomes, based on co-purification experiments; member of the ovarian tumor-like (OTU) ",79.247,43.674,33.117,6.308284416,5.448702765,5.049500083,32,0.012509773,5.602162421,6.121897301
YDR153C,YDR153C,">YDR153C ENT5 SGDID:S000002560, Chr IV from 767971-766736, Genome Release 64-1-1, reverse complement, Verified ORF, Protein containing an N-terminal epsin-like domain involved in clathrin recruitment and traffic between the Golgi and endosomes; associates",22.135,64.822,79.664,4.468257468,6.018411629,6.315856015,33,0.012900704,5.600841704,6.120576583
YAL044W-A,YAL044W-A,">YAL044W-A YAL044W-A SGDID:S000007586, Chr I from 57518-57850, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein",52.979,100.79,21.144,5.727348707,6.655208697,4.402176425,34,0.013291634,5.594911276,6.114646156
YDR175C,YDR175C,">YDR175C RSM24 SGDID:S000002582, Chr IV from 814152-813193, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the small subunit",36.426,55.052,54.336,5.186896674,5.782723072,5.763836459,35,0.013682565,5.577818735,6.097553614
YDR232W,YDR232W,">YDR232W HEM1 SGDID:S000002640, Chr IV from 927452-929098, Genome Release 64-1-1, Verified ORF, 5-aminolevulinate synthase, catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitoch",50.22,47.13,44.659,5.650190123,5.558573776,5.480879042,36,0.014073495,5.563214314,6.082949193
YNL121C,YNL121C,">YNL121C TOM70 SGDID:S000005065, Chr XIV from 400537-398684, Genome Release 64-1-1, reverse complement, Verified ORF, Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially",48.741,37.439,54.209,5.607063945,5.226469996,5.760460488,37,0.014464425,5.531331477,6.051066356
YOR251C,YOR251C,">YOR251C TUM1 SGDID:S000005777, Chr XV from 803464-802550, Genome Release 64-1-1, reverse complement, Verified ORF, Rhodanese domain sulfur transferase, accepts persulfite from Nfs1p and transfers it to Uba4p in the pathway for 2-thiolation of the wobble ",29.864,81.758,39.66,4.900335509,6.353288,5.309612772,38,0.014855356,5.52107876,6.04081364
YCR088W,YCR088W,">YCR088W ABP1 SGDID:S000000684, Chr III from 265068-266846, Genome Release 64-1-1, Verified ORF, Actin-binding protein of the cortical actin cytoskeleton, important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organizat",38.538,36.813,66.439,5.268209797,5.202143419,6.053958454,39,0.015246286,5.50810389,6.027838769
YKL029C,YKL029C,">YKL029C MAE1 SGDID:S000001512, Chr XI from 384725-382716, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism ",43.759,43.078,49.192,5.451507864,5.428879366,5.620351807,40,0.015637217,5.500246346,6.019981225
YLR089C,YLR089C,">YLR089C ALT1 SGDID:S000004079, Chr XII from 320015-318237, Genome Release 64-1-1, reverse complement, Verified ORF, Alanine transaminase (glutamic pyruvic transaminase); involved in alanine biosynthetic and catabolic processes; the authentic, non-tagged ",51.025,41.601,43.147,5.673132372,5.378546303,5.431188348,41,0.016028147,5.494289008,6.014023887
YGR229C,YGR229C,">YGR229C SMI1 SGDID:S000003461, Chr VII from 950899-949382, Genome Release 64-1-1, reverse complement, Verified ORF, Protein involved in the regulation of cell wall synthesis; proposed to be involved in coordinating cell cycle progression with cell wall i",42.325,50.481,42.363,5.403438163,5.657668584,5.404732854,42,0.016419077,5.488613201,6.00834808
YGR082W,YGR082W,">YGR082W TOM20 SGDID:S000003314, Chr VII from 644044-644595, Genome Release 64-1-1, Verified ORF, Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; ",49.07,35.316,48.588,5.616769366,5.142250043,5.602528144,43,0.016810008,5.453849184,5.973584064
YCR059C,YCR059C,">YCR059C YIH1 SGDID:S000000655, Chr III from 224230-223454, Genome Release 64-1-1, reverse complement, Verified ORF, Protein that inhibits activation of Gcn2p, an eIF2 alpha subunit protein kinase, by competing for Gcn1p binding, thus impacting gene expre",40.932,42.249,45.739,5.355157256,5.400845289,5.515352919,44,0.017200938,5.423785155,5.943520034
YBR003W,YBR003W,">YBR003W COQ1 SGDID:S000000207, Chr II from 242809-244230, Genome Release 64-1-1, Verified ORF, Hexaprenyl pyrophosphate synthetase, catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis",54.512,32.677,44.043,5.768501947,5.030203634,5.460840837,45,0.017591869,5.419848806,5.939583685
YGL009C,YGL009C,">YGL009C LEU1 SGDID:S000002977, Chr VII from 478652-476313, Genome Release 64-1-1, reverse complement, Verified ORF, Isopropylmalate isomerase, catalyzes the second step in the leucine biosynthesis pathway",38.718,42.078,46.949,5.274932526,5.394994229,5.553022524,46,0.017982799,5.40764976,5.927384639
YNL124W,YNL124W,">YNL124W NAF1 SGDID:S000005068, Chr XIV from 392892-394370, Genome Release 64-1-1, Verified ORF, RNA-binding protein required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing, forms a complex with Shq1p and interacts with H/ACA snoRN",42.497,31.17,56.513,5.409289095,4.96208625,5.820510872,47,0.018373729,5.397295406,5.917030285
YDR219C,YDR219C,">YDR219C MFB1 SGDID:S000002627, Chr IV from 906852-905455, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondria-associated F-box protein involved in maintenance of normal mitochondrial morphology; interacts with Skp1p through the F-box mo",32.782,50.575,44.697,5.03483197,5.66035251,5.482106098,48,0.01876466,5.392430192,5.912165072
YGR155W,YGR155W,">YGR155W CYS4 SGDID:S000003387, Chr VII from 798543-800066, Genome Release 64-1-1, Verified ORF, Cystathionine beta-synthase, catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis; responsible",41.612,44.109,39.919,5.378927725,5.463001148,5.319003675,49,0.01915559,5.386977516,5.906712396
YPR097W,YPR097W,">YPR097W YPR097W SGDID:S000006301, Chr XVI from 725394-728615, Genome Release 64-1-1, Verified ORF, Protein that contains a Phox homology (PX) domain and binds phosphoinositides; the authentic, non-tagged protein is detected in highly purified mitochondri",58.945,41.894,29.214,5.881297537,5.388671733,4.868588001,50,0.019546521,5.37951909,5.89925397
YJL104W,YJL104W,">YJL104W PAM16 SGDID:S000003640, Chr X from 227327-227776, Genome Release 64-1-1, Verified ORF, Constituent of the import motor (PAM complex) component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); forms a 1:1 subcomplex with Pam",32.686,33.248,65.325,5.030600931,5.055195654,6.029563314,51,0.019937451,5.371786633,5.891521512
YFL044C,YFL044C,">YFL044C OTU1 SGDID:S000001850, Chr VI from 45560-44655, Genome Release 64-1-1, reverse complement, Verified ORF, Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p; may contribute to regulation of protein degradation by deubiquitylating su",26.877,47.199,55.132,4.748300209,5.560684389,5.784818033,52,0.020328382,5.364600877,5.884335756
YIL033C,YIL033C,">YIL033C BCY1 SGDID:S000001295, Chr IX from 291669-290419, Genome Release 64-1-1, reverse complement, Verified ORF, Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA), a component of a signaling pathway that controls a variety of cellular",31.172,23.184,96.438,4.962178816,4.535057595,6.591529826,53,0.020719312,5.362922079,5.882656959
YOR232W,YOR232W,">YOR232W MGE1 SGDID:S000005758, Chr XV from 774573-775259, Genome Release 64-1-1, Verified ORF, Mitochondrial matrix cochaperone, acts as a nucleotide release factor for Ssc1p in protein translocation and folding; also acts as cochaperone for Ssq1p in fol",4.9038,77.238,177.72,2.29390014,6.271238903,7.473462236,54,0.021110242,5.346200426,5.865935306
YML110C,YML110C,">YML110C COQ5 SGDID:S000004578, Chr XIII from 50954-50031, Genome Release 64-1-1, reverse complement, Verified ORF, 2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face o",63.934,29.021,36.082,5.998511453,4.859025327,5.173207403,55,0.021501173,5.343581395,5.863316274
YKL106W,YKL106W,">YKL106W AAT1 SGDID:S000001589, Chr XI from 237536-238891, Genome Release 64-1-1, Verified ORF, Mitochondrial aspartate aminotransferase, catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis",37.679,30.999,55.983,5.235688771,4.954149771,5.806916895,56,0.021892103,5.332251812,5.851986692
YKL179C,YKL179C,">YKL179C COY1 SGDID:S000001662, Chr XI from 112503-110464, Genome Release 64-1-1, reverse complement, Verified ORF, Golgi membrane protein with similarity to mammalian CASP; genetic interactions with GOS1 (encoding a Golgi snare protein) suggest a role in",35.353,26.687,69.213,5.14376074,4.73806523,6.112971134,57,0.022283034,5.331599035,5.851333914
YNL281W,YNL281W,">YNL281W HCH1 SGDID:S000005225, Chr XIV from 108467-108928, Genome Release 64-1-1, Verified ORF, Heat shock protein regulator that binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of",49.169,25.366,52.324,5.619677109,4.664824132,5.709400929,58,0.022673964,5.331300723,5.851035603
YKL033W-A,YKL033W-A,">YKL033W-A YKL033W-A SGDID:S000007242, Chr XI from 374505-375215, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; similar to uncharacterized proteins from other fungi",35.792,33.193,54.693,5.161565256,5.052807122,5.773284293,59,0.023064894,5.32921889,5.84895377
YJL080C,YJL080C,">YJL080C SCP160 SGDID:S000003616, Chr X from 289226-285558, Genome Release 64-1-1, reverse complement, Verified ORF, Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dep",37.354,37.461,45.609,5.223190835,5.227317507,5.511246634,60,0.023455825,5.320584992,5.840319871
YOR332W,YOR332W,">YOR332W VMA4 SGDID:S000005859, Chr XV from 943656-944357, Genome Release 64-1-1, Verified ORF, Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembran",27.983,44.636,50.502,4.806478734,5.480135843,5.658268618,61,0.023846755,5.314961065,5.834695944
YPR062W,YPR062W,">YPR062W FCY1 SGDID:S000006266, Chr XVI from 677165-677641, Genome Release 64-1-1, Verified ORF, Cytosine deaminase, zinc metalloenzyme that catalyzes the hydrolytic deamination of cytosine to uracil; of biomedical interest because it also catalyzes the d",49.88,42.19,29.339,5.64038956,5.398829182,4.874747793,62,0.024237686,5.304655512,5.824390391
YBR062C,YBR062C,">YBR062C YBR062C SGDID:S000000266, Chr II from 366502-365976,366600-366585, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, Protein of unknown function that interacts with Msb2p; may play a role in activation of the filamentous growth path",21.832,57.075,49.489,4.448372395,5.834787049,5.629035986,63,0.024628616,5.304065143,5.823800022
YDL226C,YDL226C,">YDL226C GCS1 SGDID:S000002385, Chr IV from 52173-51115, Genome Release 64-1-1, reverse complement, Verified ORF, ADP-ribosylation factor GTPase activating protein (ARF GAP), involved in ER-Golgi transport; shares functional similarity with Glo3p",31.221,38.889,50.599,4.964444842,5.281290232,5.661036968,64,0.025019547,5.302257347,5.821992227
YIR004W,YIR004W,">YIR004W DJP1 SGDID:S000001443, Chr IX from 363221-364519, Genome Release 64-1-1, Verified ORF, Cytosolic J-domain-containing protein, required for peroxisomal protein import and involved in peroxisome assembly, homologous to E. coli DnaJ",31.197,41.172,46.732,4.963335397,5.363591627,5.546338877,65,0.025410477,5.291088633,5.810823513
YJR017C,YJR017C,">YJR017C ESS1 SGDID:S000003778, Chr X from 467033-466521, Genome Release 64-1-1, reverse complement, Verified ORF, Peptidylprolyl-cis/trans-isomerase (PPIase) specific for phosphorylated serine and threonine residues N-terminal to proline; regulates phosp",37.357,36.151,43.588,5.223306697,5.17596365,5.445859103,66,0.025801407,5.281709817,5.801444696
YDR234W,YDR234W,">YDR234W LYS4 SGDID:S000002642, Chr IV from 931129-933210, Genome Release 64-1-1, Verified ORF, Homoaconitase, catalyzes the conversion of homocitrate to homoisocitrate, which is a step in the lysine biosynthesis pathway",26.271,29.778,74.71,4.715399212,4.896174955,6.223229457,67,0.026192338,5.278267875,5.798002754
YAL044C,YAL044C,">YAL044C GCV3 SGDID:S000000042, Chr I from 58462-57950, Genome Release 64-1-1, reverse complement, Verified ORF, H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for ",32.458,36.792,48.404,5.020502201,5.201320198,5.597054368,68,0.026583268,5.272958923,5.792693802
YOR357C,YOR357C,">YOR357C SNX3 SGDID:S000005884, Chr XV from 1009712-1009224, Genome Release 64-1-1, reverse complement, Verified ORF, Sorting nexin required to maintain late-Golgi resident enzymes in their proper location by recycling molecules from the prevacuolar compa",57.664,40.636,24.441,5.849599011,5.344686492,4.611231409,69,0.026974199,5.268505638,5.788240517
YMR220W,YMR220W,">YMR220W ERG8 SGDID:S000004833, Chr XIII from 712316-713671, Genome Release 64-1-1, Verified ORF, Phosphomevalonate kinase, an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate",25.76,36.803,60.077,4.687060688,5.201751467,5.908740867,70,0.027365129,5.265851008,5.785585887
YMR285C,YMR285C,">YMR285C NGL2 SGDID:S000004898, Chr XIII from 841691-840144, Genome Release 64-1-1, reverse complement, Verified ORF, Protein involved in 5.8S rRNA processing; Ccr4p-like RNase required for correct 3-end formation of 5.8S rRNA at site E; similar to Ngl1p",37.974,37.61,38.044,5.246940068,5.233044401,5.249597036,71,0.027756059,5.243193835,5.762928715
YIL038C,YIL038C,">YIL038C NOT3 SGDID:S000001300, Chr IX from 282652-280142, Genome Release 64-1-1, reverse complement, Verified ORF, Subunit of the CCR4-NOT complex, which is a global transcriptional regulator with roles in transcription initiation and elongation and in m",40.378,44.899,29.778,5.335497548,5.488611408,4.896174955,72,0.02814699,5.240094637,5.759829516
YFL045C,YFL045C,">YFL045C SEC53 SGDID:S000001849, Chr VI from 44392-43628, Genome Release 64-1-1, reverse complement, Verified ORF, Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory",38.15,35.183,39.94,5.253611152,5.136806599,5.319762428,73,0.02853792,5.236726726,5.756461606
YBL047C,YBL047C,">YBL047C EDE1 SGDID:S000000143, Chr II from 132040-127895, Genome Release 64-1-1, reverse complement, Verified ORF, Key endocytic protein involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner,",40.424,30.586,43.201,5.33714018,4.93479954,5.432992803,74,0.028928851,5.234977508,5.754712387
YLR179C,YLR179C,">YLR179C YLR179C SGDID:S000004169, Chr XII from 514713-514108, Genome Release 64-1-1, reverse complement, Verified ORF, Protein of unknown function with similarity to Tfs1p; transcription is activated by paralogous proteins Yrm1p and Yrr1p along with prot",46.387,34.943,32.46,5.53564864,5.12693157,5.020591095,75,0.029319781,5.227723768,5.747458648
YFR010W,YFR010W,">YFR010W UBP6 SGDID:S000001906, Chr VI from 165067-166566, Genome Release 64-1-1, Verified ORF, Ubiquitin-specific protease situated in the base subcomplex of the 26S proteasome, releases free ubiquitin from branched polyubiquitin chains; works in opposit",28.371,51.913,34.465,4.826345097,5.698023957,5.10706011,76,0.029710711,5.210476388,5.730211267
YDR337W,YDR337W,">YDR337W MRPS28 SGDID:S000002745, Chr IV from 1146319-1147179, Genome Release 64-1-1, Verified ORF, Mitochondrial ribosomal protein of the small subunit",26.691,28.243,66.967,4.738281453,4.819821436,6.065378434,77,0.030101642,5.207827108,5.727561987
YGR232W,YGR232W,">YGR232W NAS6 SGDID:S000003464, Chr VII from 953960-954646, Genome Release 64-1-1, Verified ORF, Proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); ortholog of human oncoprotein ",36.472,26.42,52.267,5.188717409,4.723558561,5.707828449,78,0.030492572,5.206701473,5.726436353
YEL038W,YEL038W,">YEL038W UTR4 SGDID:S000000764, Chr V from 80462-81145, Genome Release 64-1-1, Verified ORF, Protein with sequence similarity to 2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatases, involved in methionine salvage; found in both the cytoplasm an",72.656,44.366,15.584,6.183010037,5.471382582,3.961993677,79,0.030883503,5.205462099,5.725196978
