Protein IDs,Majority protein IDs,First Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides MSZ20_S_1,Peptides MSZ20_S_2,Peptides MSZ20_S_3,Peptides MSZ20_S_4,Razor + unique peptides MSZ20_S_1,Razor + unique peptides MSZ20_S_2,Razor + unique peptides MSZ20_S_3,Razor + unique peptides MSZ20_S_4,Unique peptides MSZ20_S_1,Unique peptides MSZ20_S_2,Unique peptides MSZ20_S_3,Unique peptides MSZ20_S_4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L MSZ20_S_1,Ratio H/L MSZ20_S_2,Ratio H/L MSZ20_S_3,Ratio H/L MSZ20_S_4,Ratio H/L normalized MSZ20_S_1,Ratio H/L normalized MSZ20_S_2,Ratio H/L normalized MSZ20_S_3,Ratio H/L normalized MSZ20_S_4,Ratio H/L variability [%] MSZ20_S_1,Ratio H/L variability [%] MSZ20_S_2,Ratio H/L variability [%] MSZ20_S_3,Ratio H/L variability [%] MSZ20_S_4,Ratio H/L count MSZ20_S_1,Ratio H/L count MSZ20_S_2,Ratio H/L count MSZ20_S_3,Ratio H/L count MSZ20_S_4,Ratio H/L iso-count MSZ20_S_1,Ratio H/L iso-count MSZ20_S_2,Ratio H/L iso-count MSZ20_S_3,Ratio H/L iso-count MSZ20_S_4,Ratio H/L type MSZ20_S_1,Ratio H/L type MSZ20_S_2,Ratio H/L type MSZ20_S_3,Ratio H/L type MSZ20_S_4,Sequence coverage MSZ20_S_1 [%],Sequence coverage MSZ20_S_2 [%],Sequence coverage MSZ20_S_3 [%],Sequence coverage MSZ20_S_4 [%],Intensity,Intensity L,Intensity H,Intensity MSZ20_S_1,Intensity L MSZ20_S_1,Intensity H MSZ20_S_1,Intensity MSZ20_S_2,Intensity L MSZ20_S_2,Intensity H MSZ20_S_2,Intensity MSZ20_S_3,Intensity L MSZ20_S_3,Intensity H MSZ20_S_3,Intensity MSZ20_S_4,Intensity L MSZ20_S_4,Intensity H MSZ20_S_4,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
YBR196C,YBR196C,YBR196C,20,20,20,"YBR196C PGI1 SGDID:S000000400, Chr II from 613900-612236, Genome Release 64-2-1, reverse complement, Verified ORF, Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell",1,20,20,20,15,13,17,15,15,13,17,15,15,13,17,15,50.9,50.9,50.9,61.298,554,554,0,323.31,0.04075,0.1965,144.79,64,55,Leave out requantified,0.048136,0.04075,0.042298,0.068552,0.27942,0.15143,0.2641,0.40238,128.78,158.25,150.13,135.5,15,16,17,16,14,13,14,14,Median,Leave out requantified,Leave out requantified,Median,41,34.8,45.7,38.8,154960000,147690000,7268700,41668000,39793000,1875400,38938000,36984000,1954200,39561000,37985000,1576100,34789000,32926000,1863000,,,,122,121;444;700;1441;1624;1805;2577;3062;3314;3794;4386;4753;5470;5471;5871;5883;7600;7601;8263;8679,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,121;445;702;1444;1628;1811;2586;3072;3325;3805;4400;4772;5498;5499;5901;5913;7645;7646;8315;8734,362;363;1214;1215;1216;1217;1218;1219;1220;1221;1962;3864;3865;3866;3867;4370;4371;4372;4881;4882;4883;4884;4885;4886;4887;6907;6908;6909;6910;8148;8149;8833;8834;8835;8836;8837;10076;11609;11610;11611;11612;12574;12575;12576;14431;14432;14433;14434;14435;14436;15434;15435;15436;15437;15469;15470;15471;19947;19948;19949;19950;19951;19952;19953;19954;21783;21784;21785;21786;21787;22890,784;785;786;787;788;789;2482;2483;2484;2485;2486;2487;2488;2489;2490;2491;2492;2493;2494;2495;2496;2497;4099;7525;7526;7527;7528;7529;7530;8428;8429;8430;8431;8432;8433;8434;8435;9390;9391;9392;9393;9394;9395;9396;9397;9398;9399;9400;9401;9402;9403;9404;9405;9406;13162;13163;13164;13165;13166;13167;13168;13169;13170;15457;15458;16828;16829;16830;16831;16832;16833;16834;16835;16836;16837;16838;16839;16840;19317;19318;19319;22188;22189;22190;22191;22192;22193;22194;22195;22196;22197;22198;22199;22200;22201;23895;23896;23897;23898;23899;27278;27279;27280;27281;27282;27283;27284;27285;27286;27287;27288;27289;27290;27291;29024;29025;29026;29027;29073;29074;29075;29076;29077;29078;29079;29080;29081;37387;37388;37389;37390;37391;37392;37393;37394;37395;37396;37397;37398;37399;37400;37401;37402;37403;37404;37405;37406;37407;37408;37409;37410;37411;37412;37413;37414;37415;37416;37417;37418;37419;37420;37421;37422;37423;41294;41295;41296;41297;41298;41299;41300;41301;41302;41303;41304;41305;41306;41307;41308;43493,785;2483;4099;7526;8434;9393;13165;15457;16833;19319;22190;23898;27279;27284;29024;29073;37394;37408;41308;43493,,,-1
YBR198C,YBR198C,YBR198C,2,2,2,"YBR198C TAF5 SGDID:S000000402, Chr II from 618523-616127, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit (90 kDa) of TFIID and SAGA complexes; involved in RNA polymerase II transcription initiation and in chromatin modification",1,2,2,2,1,1,1,0,1,1,1,0,1,1,1,0,4.4,4.4,4.4,88.967,798,798,0,22.574,0.72041,8.1465,402.72,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0,1,1,0,0,Median,Median,Median,Median,1.1,3.3,3.3,0,751730,598160,153570,152230,3620,148610,276270,271310,4962,323230,323230,0,0,0,0,,,,123,864;7833,True;True,866;7879,2377;20568;20569,4857;38678;38679,4857;38678,,,-1
YBR199W,YBR199W,YBR199W,4,4,4,"YBR199W KTR4 SGDID:S000000403, Chr II from 618909-620303, Genome Release 64-2-1, Verified ORF, Putative mannosyltransferase involved in protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family of type II membrane proteins with a short cyt",1,4,4,4,1,1,2,2,1,1,2,2,1,1,2,2,11.4,11.4,11.4,54.555,464,464,0,4.7402,0.17838,0.40301,40.06,4,3,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,0,1,Median,Median,Median,Median,2.8,1.7,6.9,5.2,331120,282890,48230,91750,78846,12904,100030,87769,12260,54556,46226,8330.4,84789,70053,14736,,,,124,1273;3404;7547;9126,True;True;True;True,1275;3415;7592;9183,3436;3437;9068;9069;19795;24120,6689;6690;17337;17338;37055;45972,6689;17338;37055;45972,,,-1
YBR205W,YBR205W,YBR205W,4,4,4,"YBR205W KTR3 SGDID:S000000409, Chr II from 633622-634836, Genome Release 64-2-1, Verified ORF, Putative alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; Svp26p mediates u",1,4,4,4,3,2,2,2,3,2,2,2,3,2,2,2,11.6,11.6,11.6,47.482,404,404,0,49.871,0.13219,0.28182,192.95,6,6,Median,0.13627,NaN,NaN,NaN,0.32818,NaN,NaN,NaN,217.5,NaN,NaN,NaN,3,1,1,1,3,1,1,1,Median,Median,Median,Median,9.4,5.4,5.2,5.4,1623700,1554400,69274,864190,830390,33794,505470,498400,7076,173950,156650,17292,80107,68995,11112,,,,125,944;1380;4434;7186,True;True;True;True,946;1383;4448;7227,2593;2594;3709;3710;3711;11712;11713;18796;18797,5205;5206;7207;7208;7209;22332;22333;35075;35076,5205;7208;22332;35075,,,-1
YBR208C,YBR208C,YBR208C,6,6,6,"YBR208C DUR1,2 SGDID:S000000412, Chr II from 642210-636703, Genome Release 64-2-1, reverse complement, Verified ORF, Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive t",1,6,6,6,2,4,0,2,2,4,0,2,2,4,0,2,4.8,4.8,4.8,201.83,1835,1835,0,11.04,0.17039,0.34353,91.134,8,8,Median,0.33436,0.1937,NaN,0.14105,0.92526,0.37109,NaN,0.29407,204.79,15.292,NaN,14.911,2,4,0,2,2,4,0,2,Median,Median,Median,Median,1.3,3.5,0,1.9,764510,654920,109590,239740,175490,64254,345730,319920,25810,0,0,0,179040,159520,19524,,,,126,1695;2051;2109;2665;4469;5695,True;True;True;True;True;True,1700;2059;2117;2674;4483;5724,4577;5534;5535;5677;7127;11802;11803;14996,8815;8816;10638;10639;10926;13568;22485;22486;28227;28228,8816;10638;10926;13568;22485;28228,,,-1
YBR214W,YBR214W,YBR214W,2,2,2,"YBR214W SDS24 SGDID:S000000418, Chr II from 651415-652998, Genome Release 64-2-1, Verified ORF, Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in",1,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,4,4,4,57.187,527,527,0.0047809,2.5257,0.29739,0.68831,139.81,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0,1,1,0,0,Median,Median,Median,Median,2.7,1.3,0,0,193370,141190,52174,153920,108930,44984,39453,32263,7190,0,0,0,0,0,0,,,,127,6355;9111,True;True,6389;9168,16715;24077,31333;45912,31333;45912,,,-1
YBR218C,YBR218C,YBR218C,29,29,8,"YBR218C PYC2 SGDID:S000000422, Chr II from 662249-658707, Genome Release 64-2-1, reverse complement, Verified ORF, Pyruvate carboxylase isoform; cytoplasmic enzyme that converts pyruvate to oxaloacetate; differentially regulated than isoform Pyc1p; mutati",1,29,29,8,19,24,21,18,19,24,21,18,5,6,4,4,30.8,30.8,10.2,130.17,1180,1180,0,323.31,0.045893,0.92786,44.8,71,59,Leave out requantified,0.058545,0.063594,0.04565,0.053503,0.91738,0.77193,1.0031,0.88068,87.263,63.924,71.86,47.26,16,21,19,15,14,19,15,11,Median,Median,Leave out requantified,Leave out requantified,21.4,26,22.1,20.1,49842000,47413000,2429400,11845000,11269000,576980,11776000,11169000,607060,11590000,11025000,564870,14631000,13950000,680480,,,,128,213;759;1106;1129;1133;1442;1638;1800;2218;2752;3973;4116;4426;4835;4839;5048;5587;5712;5724;6144;6336;6691;7081;7126;7670;8142;8236;8738;9148,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,213;761;1108;1131;1135;1445;1642;1806;2226;2761;3986;4129;4440;4855;4859;5069;5616;5741;5753;6177;6370;6727;7121;7167;7716;8192;8288;8794;9205,600;601;602;603;2114;2115;2116;2117;3010;3065;3077;3078;3079;3868;3869;3870;4398;4399;4400;4401;4870;4871;4872;4873;5957;5958;5959;7333;7334;7335;10569;10932;10933;10934;11691;11692;12762;12763;12764;12770;12771;12772;13345;13346;13347;13348;14722;14723;14724;15040;15041;15075;15076;16156;16157;16669;16670;16671;16672;17527;18534;18535;18536;18537;18645;18646;18647;18648;20145;20146;20147;21434;21435;21436;21437;21696;21697;21698;23056;23057;23058;24174,1284;1285;1286;1287;1288;1289;1290;1291;1292;1293;1294;4395;4396;4397;4398;4399;4400;4401;4402;4403;5925;5994;6022;6023;6024;6025;6026;6027;6028;7531;7532;7533;7534;7535;7536;8471;8472;8473;8474;8475;8476;8477;8478;8479;8480;8481;9375;9376;9377;9378;9379;9380;9381;9382;11484;11485;11486;13933;13934;13935;20303;20304;20971;20972;20973;20974;22307;22308;24219;24220;24221;24222;24228;24229;24230;24231;25305;25306;25307;25308;25309;25310;25311;25312;25313;27747;27748;27749;27750;27751;27752;27753;27754;27755;28318;28319;28395;28396;28397;30309;30310;31235;31236;31237;31238;31239;31240;31241;32736;34586;34587;34588;34589;34590;34591;34592;34593;34594;34823;34824;34825;34826;34827;34828;37901;37902;37903;40538;40539;40540;40541;40542;41130;41131;41132;41133;41134;41135;41136;43850;43851;43852;46062,1286;4397;5925;5994;6025;7532;8472;9382;11486;13935;20303;20971;22308;24222;24231;25312;27755;28319;28397;30310;31241;32736;34590;34823;37903;40542;41130;43850;46062,,,-1
YBR221C,YBR221C,YBR221C,10,10,10,"YBR221C PDB1 SGDID:S000000425, Chr II from 666253-665153, Genome Release 64-2-1, reverse complement, Verified ORF, E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria",1,10,10,10,7,6,3,4,7,6,3,4,7,6,3,4,42.9,42.9,42.9,40.053,366,366,0,185.65,0.046854,0.98314,216.26,20,15,Leave out requantified,0.077034,0.161,0.071498,0.064879,0.91411,0.59651,1.0287,0.58658,162.45,171.68,83.544,147.15,7,6,3,4,7,5,1,2,Median,Median,Median,Median,30.9,21.6,10.1,14.2,11850000,11079000,771360,5420400,5010800,409530,1947300,1825000,122280,1283800,1205400,78447,3198900,3037800,161100,,,,129,1433;1434;1665;1810;3077;6074;6969;8628;8681;9016,True;True;True;True;True;True;True;True;True;True,1436;1437;1669;1816;3087;6106;7006;8683;8736;9073,3846;3847;4491;4492;4493;4901;4902;8187;15956;15957;15958;18248;18249;18250;22733;22895;23812;23813;23814;23815,7479;7480;7481;8676;8677;8678;8679;8680;9432;9433;9434;9435;9436;15553;29946;29947;29948;29949;34018;34019;34020;34021;34022;43211;43212;43506;45353;45354;45355;45356;45357;45358;45359;45360;45361;45362,7479;7480;8680;9435;15553;29948;34021;43212;43506;45359,,,-1
YBR222C,YBR222C,YBR222C,5,5,5,"YBR222C PCS60 SGDID:S000000426, Chr II from 668351-666720, Genome Release 64-2-1, reverse complement, Verified ORF, Oxalyl-CoA synthetase; capable of catalyzing conversion of oxalate to oxalyl-CoA; catalyzes first step in pathway of oxalate degradation th",1,5,5,5,2,1,1,2,2,1,1,2,2,1,1,2,11,11,11,60.488,543,543,0,11.446,0.15505,1.3579,59.607,5,5,Linear,0.14956,NaN,NaN,0.16002,0.35008,NaN,NaN,0.38713,2.2039,NaN,NaN,3.8473,2,1,0,2,2,1,0,2,Median,Median,Median,Median,5,3.3,1.3,3.9,702570,651740,50830,202980,180780,22196,166120,150920,15208,124410,124410,0,209050,195630,13426,,,,130,5087;7614;7879;8234;8285,True;True;True;True;True,5108;7659;7925;8286;8337,13438;19987;20696;21690;21691;21845,25447;37498;38983;41121;41122;41420,25447;37498;38983;41122;41420,,,-1
YBR234C,YBR234C,YBR234C,7,7,7,"YBR234C ARC40 SGDID:S000000438, Chr II from 686592-685438, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches",1,7,7,7,1,4,2,1,1,4,2,1,1,4,2,1,30.2,30.2,30.2,42.474,384,384,0,11.365,0.14926,1.2103,138.82,7,6,Median,NaN,0.13689,0.28384,NaN,NaN,0.53881,1.6565,NaN,NaN,201.27,44.382,NaN,1,3,2,1,1,2,2,1,Median,Median,Median,Median,3.6,20.6,11.2,2.9,1447600,1335400,112240,129420,115540,13878,681960,652780,29179,353160,313640,39522,283080,253420,29658,,,,132,47;2075;2228;3483;5622;7714;8593,True;True;True;True;True;True;True,47;2083;2236;3494;5651;7760;8647,156;5583;5987;9266;9267;14819;20280;22645,342;10732;11538;17705;17706;27922;38111;43058,342;10732;11538;17705;27922;38111;43058,,,-1
YBR248C,YBR248C,YBR248C,19,19,19,"YBR248C HIS7 SGDID:S000000452, Chr II from 716465-714807, Genome Release 64-2-1, reverse complement, Verified ORF, Imidazole glycerol phosphate synthase; glutamine amidotransferase:cyclase that catalyzes the fifth step of histidine biosynthesis and also p",1,19,19,19,14,9,11,10,14,9,11,10,14,9,11,10,39.9,39.9,39.9,61.067,552,552,0,64.911,0.25985,1.2741,181.33,41,32,Leave out requantified,0.10648,0.090278,0.17589,0.086988,0.97859,0.56597,0.46363,0.88264,127.01,66.887,108.83,149.49,12,10,9,10,10,8,6,8,Median,Median,Leave out requantified,Median,31.9,19.4,23.9,19.6,11053000,9953400,1099900,3315500,3007000,308540,2255300,2035900,219380,2241100,2019300,221830,3241300,2891200,350120,,,,134,221;879;1010;1048;1857;2257;2818;2847;3893;3937;4742;5834;6537;7281;7820;8245;8584;8754;9012,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,221;881;1012;1050;1863;2265;2827;2856;3906;3950;4761;5863;6573;7323;7866;8297;8638;8810;9069,618;619;620;621;2416;2774;2775;2776;2859;2860;2861;5019;5020;5021;5022;6076;6077;6078;6079;7497;7580;10352;10353;10471;10472;10473;10474;12551;15344;15345;17176;17177;19069;20535;20536;21726;21727;21728;21729;22626;22627;22628;22629;23099;23799,1326;1327;1328;1329;1330;1331;1332;4908;4909;5542;5543;5544;5545;5546;5674;5675;5676;5677;5678;9605;9606;9607;9608;11714;11715;11716;11717;11718;11719;11720;11721;14253;14391;19887;19888;20148;20149;20150;20151;23859;28862;28863;32163;32164;32165;35624;38622;38623;41182;41183;41184;41185;41186;41187;41188;41189;43032;43033;43034;43035;43036;43037;43965;45335,1327;4909;5546;5678;9605;11715;14253;14391;19887;20148;23859;28862;32165;35624;38623;41182;43035;43965;45335,,,-1
YBR249C,YBR249C,YBR249C,10,10,9,"YBR249C ARO4 SGDID:S000000453, Chr II from 717994-716882, Genome Release 64-2-1, reverse complement, Verified ORF, 3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-in",1,10,10,9,2,6,6,10,2,6,6,10,1,5,5,9,33.8,33.8,31.9,39.749,370,370,0,323.31,0.06987,0.3835,153.97,21,17,Median,0.11195,0.053617,0.043874,0.077739,0.60397,0.277,0.39416,0.47334,218.2,188.58,156.46,130.7,3,4,6,8,2,3,4,8,Median,Median,Median,Median,7.6,20,22.4,33.8,47029000,45425000,1603800,10105000,9799600,305690,6915000,6574300,340700,8272800,8053400,219420,21736000,20998000,737990,,,,135,520;724;1422;1423;1793;2798;2991;3344;3803;8490,True;True;True;True;True;True;True;True;True;True,522;726;1425;1426;1799;2807;3001;3355;3814;8544,1404;1405;1406;1407;1408;1409;1410;2019;2020;2021;2022;3814;3815;3816;3817;3818;4858;7460;7461;7462;7463;7952;7953;8914;8915;8916;10099;10100;22400,2856;2857;2858;2859;2860;2861;2862;2863;2864;2865;2866;2867;2868;2869;2870;2871;2872;2873;4201;4202;4203;4204;4205;4206;4207;4208;7386;7387;7388;7389;7390;7391;7392;9358;9359;14192;14193;14194;14195;14196;14197;14198;14199;15092;15093;15094;15095;15096;15097;15098;17001;17002;17003;19355;19356;42580,2857;4201;7390;7392;9359;14198;15093;17001;19355;42580,,,-1
YBR256C,YBR256C,YBR256C,2,2,2,"YBR256C RIB5 SGDID:S000000460, Chr II from 728102-727386, Genome Release 64-2-1, reverse complement, Verified ORF, Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway",1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,10.1,10.1,10.1,26.195,238,238,0,4.6734,0.12715,0.85193,24.011,3,3,Plateau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,1,0,1,1,1,Median,Median,Median,Median,3.8,6.3,10.1,10.1,1239300,1179400,59980,179070,179070,0,249830,230440,19392,479290,456470,22816,331160,313390,17772,,,,136,1245;8298,True;True,1247;8350,3352;3353;3354;21868;21869;21870,6542;6543;6544;6545;41464;41465;41466;41467,6542;41466,,,-1
YBR263W,YBR263W,YBR263W,10,10,10,"YBR263W SHM1 SGDID:S000000467, Chr II from 736264-737736, Genome Release 64-2-1, Verified ORF, Mitochondrial serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; involved in generating precursors for purine, pyr",1,10,10,10,8,7,4,8,8,7,4,8,8,7,4,8,24.9,24.9,24.9,53.686,490,490,0,41.445,0.067787,0.52384,58.871,23,20,Median,0.084437,0.06357,0.041664,0.079962,0.73418,0.40217,0.35905,0.57018,72.003,60.616,39.3,47.039,7,6,2,8,6,5,1,8,Median,Median,Median,Median,21,19.2,8.2,21.2,9239700,8908500,331170,2761900,2661500,100440,2126800,2044300,82455,1448100,1425400,22731,2902900,2777300,125540,,,,137,669;1746;3402;5313;6232;6680;6906;8777;9207;9302,True;True;True;True;True;True;True;True;True;True,671;1751;3413;5334;6266;6716;6942;8833;9264;9359,1883;1884;1885;4716;9063;9064;9065;9066;14033;14034;14035;14036;14037;16388;16389;16390;17502;17503;17504;18077;23162;23163;23164;23165;24319;24320;24321;24322;24562,3926;3927;3928;3929;9083;17329;17330;17331;17332;17333;17334;17335;26518;26519;26520;26521;26522;30732;30733;30734;32689;32690;32691;32692;32693;32694;32695;33712;33713;44121;44122;44123;44124;44125;44126;44127;44128;46320;46321;46322;46323;46324;46325;46326;46801,3929;9083;17334;26522;30732;32695;33712;44128;46325;46801,,,-1
YBR264C,YBR264C,YBR264C,2,2,2,"YBR264C YPT10 SGDID:S000000468, Chr II from 738369-737770, Genome Release 64-2-1, reverse complement, Verified ORF, Rab family GTP-binding protein; contains the PEST signal sequence specific for proteolytic enzymes; may be involved in vesicular transport;",1,2,2,2,0,1,1,1,0,1,1,1,0,1,1,1,12.6,12.6,12.6,21.834,199,199,0.008843,2.0472,0.3022,0.44952,7.4411,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,1,1,Median,Median,Median,Median,0,6,6.5,6.5,128280,116070,12202,0,0,0,29136,29136,0,45869,41789,4080,53270,45148,8122,,,,138,3726;7684,True;True,3737;7730,9904;20184;20185,18978;37961;37962,18978;37961,,,-1
YBR273C,YBR273C,YBR273C,3,3,3,"YBR273C UBX7 SGDID:S000000477, Chr II from 749371-748061, Genome Release 64-2-1, reverse complement, Verified ORF, UBX (ubiquitin regulatory X) domain-containing protein; interacts with Cdc48p; UBX7 has a paralog, UBX6, that arose from the whole genome du",1,3,3,3,2,1,0,0,2,1,0,0,2,1,0,0,11,11,11,50.03,436,436,0.0016878,3.1283,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,1,0,0,0,Median,Median,Median,Median,8.7,2.3,0,0,140250,137490,2756,140250,137490,2756,0,0,0,0,0,0,0,0,0,,,,139,3445;6682;7751,True;True;True,3456;6718;7797,9169;17508;20366,17537;32704;38312,17537;32704;38312,,,-1
YBR283C,YBR283C,YBR283C,4,4,4,"YBR283C SSH1 SGDID:S000000487, Chr II from 770415-768943, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of the Ssh1 translocon complex; Sec61p homolog involved in co-translational pathway of protein translocation; not essential",1,4,4,4,3,3,4,2,3,3,4,2,3,3,4,2,13.3,13.3,13.3,53.311,490,490,0,21.218,0.078326,1.2688,115.42,11,11,Median,0.12044,0.10753,0.067046,0.097219,2.8422,1.5505,0.81973,0.91799,64.707,121.46,168.23,49.058,3,2,4,2,3,2,4,2,Plateau,Median,Median,Median,9,9,13.3,6.1,5238300,5014500,223780,1691700,1624800,66810,1344200,1282800,61404,1714500,1642500,72030,487820,464280,23538,,,,140,621;1181;4711;8282,True;True;True;True,623;1183;4729;8334,1716;1717;1718;3212;3213;3214;3215;12456;21836;21837;21838;21839,3578;3579;3580;3581;3582;3583;6293;6294;6295;6296;6297;6298;6299;6300;6301;23621;41404;41405;41406;41407;41408;41409;41410,3579;6295;23621;41410,,,-1
YBR286W,YBR286W,YBR286W,9,9,9,"YBR286W APE3 SGDID:S000000490, Chr II from 774700-776313, Genome Release 64-2-1, Verified ORF, Vacuolar aminopeptidase Y; processed to mature form by Prb1p",1,9,9,9,6,8,6,6,6,8,6,6,6,8,6,6,21.4,21.4,21.4,60.137,537,537,0,323.31,0.1037,0.7704,102.81,23,22,Median,0.10983,0.090937,0.12438,0.1037,0.74865,0.64652,0.89249,1.022,134.09,136.78,52.998,56.91,6,7,7,3,6,7,6,3,Median,Median,Median,Median,16,19.2,14.9,15.6,23308000,21200000,2108300,5836900,4930700,906260,6928400,6382100,546290,4167800,3871700,296140,6375200,6015600,359590,,,,141,1356;1655;2418;3413;5876;6373;6764;7893;8256,True;True;True;True;True;True;True;True;True,1358;1659;2427;3424;5906;6407;6800;7939;8308,3622;3623;3624;3625;3626;3627;3628;3629;3630;3631;3632;3633;4466;6533;6534;9083;9084;9085;9086;15451;15452;16755;16756;16757;16758;17713;17714;17715;17716;20725;21759;21760;21761;21762,6990;6991;6992;6993;6994;6995;6996;6997;6998;6999;7000;7001;7002;7003;7004;7005;7006;7007;7008;7009;8637;8638;12591;12592;12593;17356;17357;17358;17359;17360;17361;17362;17363;17364;17365;17366;17367;17368;29049;29050;31401;31402;31403;31404;31405;33057;33058;33059;33060;33061;39020;41239;41240;41241;41242;41243;41244;41245;41246;41247;41248,7008;8638;12591;17362;29049;31403;33061;39020;41241,,,-1
YBR288C,YBR288C,YBR288C,2,2,2,"YBR288C APM3 SGDID:S000000492, Chr II from 779463-778012, Genome Release 64-2-1, reverse complement, Verified ORF, Mu3-like subunit of the clathrin associated protein complex (AP-3); functions in transport of alkaline phosphatase to the vacuole via the al",1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4.8,4.8,4.8,54.837,483,483,0.0017021,3.1804,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,1,0,0,0,Median,Median,Median,Median,2.5,2.3,2.3,2.3,328630,288830,39800,94617,54817,39800,101060,101060,0,67719,67719,0,65230,65230,0,,,,142,6533;7412,True;True,6569;7455,17161;17162;17163;19435,32142;32143;32144;36358,32143;36358,,,-1
YCL001W,YCL001W,YCL001W,2,2,2,"YCL001W RER1 SGDID:S000000507, Chr III from 111916-112482, Genome Release 64-2-1, Verified ORF, Protein involved in retention of membrane proteins; including Sec12p, in the ER; localized to Golgi; functions as a retrieval receptor in returning membrane pr",1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,14.4,14.4,14.4,22.27,188,188,0.00086957,3.3787,0.10485,1.0116,92.155,5,4,Median,0.070836,NaN,NaN,NaN,0.4182,NaN,NaN,NaN,132.71,NaN,NaN,NaN,2,1,1,1,2,0,1,1,Median,Median,Median,Median,14.4,10.1,10.1,10.1,1706900,1565800,141100,585810,540200,45614,275140,254170,20967,392550,360060,32496,453370,411340,42026,,,,143,2342;9041,True;True,2351;9098,6333;6334;6335;6336;23876,12257;12258;12259;12260;45502;45503,12258;45503,,,-1
YCL009C,YCL009C,YCL009C,3,3,3,"YCL009C ILV6 SGDID:S000000515, Chr III from 105548-104619, Genome Release 64-2-1, reverse complement, Verified ORF, Regulatory subunit of acetolactate synthase; acetolactate synthase catalyzes the first step of branched-chain amino acid biosynthesis; enha",1,3,3,3,2,3,3,2,2,3,3,2,2,3,3,2,12.3,12.3,12.3,33.986,309,309,0,46.59,0.12197,0.82763,63.749,6,6,Median,NaN,0.04863,0.23299,NaN,NaN,0.82763,0.55142,NaN,NaN,9.0958,118.14,NaN,1,2,2,1,1,2,2,1,Median,Median,Median,Median,9.7,12.3,12.3,9.7,3694700,3620500,74226,628700,620290,8410,1388600,1358500,30070,771150,756480,14670,906280,885210,21076,,,,144,5547;6328;6893,True;True;True,5576;6362;6929,14628;14629;14630;14631;14632;14633;14634;14635;16642;16643;16644;16645;16646;18037;18038,27605;27606;27607;27608;27609;27610;27611;27612;27613;27614;31187;31188;31189;31190;31191;31192;31193;31194;31195;33661;33662,27606;31191;33662,,,-1
