Majority protein IDs,First Majority protein IDs,Fasta headers,Ratio H/L MSZ08-1_Sol,Ratio H/L MSZ08-2_Sol,Ratio H/L MSZ08-3_Sol,Log2 Ratio H/L MSZ08-1_Sol,Log2 Ratio H/L MSZ08-2_Sol,Log2 Ratio H/L MSZ08-3_Sol,rank,%rank,Average Log2 Ratio H/L Sol,Average after TCL Median correction
YKL081W,YKL081W,">YKL081W TEF4 SGDID:S000001564, Chr XI from 282891-283095,283422-284455, Genome Release 64-1-1, Verified ORF, Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p",0.020969,0.029128,0.035291,-5.575598128,-5.101449544,-4.824555879,25,0.009201325,-5.167201184,-4.647466304
YGR001C,YGR001C,">YGR001C YGR001C SGDID:S000003233, Chr VII from 497365-497133,497937-497459,498034-498000, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, Putative protein of unknown function with similarity to methyltransferase family members; green fluo",0.045509,0.020471,0.024277,-4.457704304,-5.610274611,-5.364266036,26,0.009569378,-5.14408165,-4.624346771
YOL149W,YOL149W,">YOL149W DCP1 SGDID:S000005509, Chr XV from 44938-45633, Genome Release 64-1-1, Verified ORF, Subunit of the Dcp1p-Dcp2p decapping enzyme complex, which removes the 5 cap structure from mRNAs prior to their degradation; enhances the activity of catalytic",0.026563,0.029136,0.031191,-5.234438097,-5.101053362,-5.002726383,27,0.009937431,-5.112739281,-4.593004402
YML074C,YML074C,">YML074C FPR3 SGDID:S000004539, Chr XIII from 121324-120089, Genome Release 64-1-1, reverse complement, Verified ORF, Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2",0.031882,0.036788,0.022353,-4.971114055,-4.764620944,-5.483387721,28,0.010305484,-5.073040907,-4.553306028
YKL033W-A,YKL033W-A,">YKL033W-A YKL033W-A SGDID:S000007242, Chr XI from 374505-375215, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; similar to uncharacterized proteins from other fungi",0.026173,0.051752,0.02037,-5.255776891,-4.272241572,-5.617410209,29,0.010673537,-5.048476224,-4.528741345
YBR247C,YBR247C,">YBR247C ENP1 SGDID:S000000451, Chr II from 714455-713004, Genome Release 64-1-1, reverse complement, Verified ORF, Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus ",0.032124,0.033969,0.026003,-4.960204645,-4.879637442,-5.265178111,30,0.01104159,-5.035006733,-4.515271853
YHR064C,YHR064C,">YHR064C SSZ1 SGDID:S000001106, Chr VIII from 227141-225525, Genome Release 64-1-1, reverse complement, Verified ORF, Hsp70 protein that interacts with Zuo1p (a DnaJ homolog) to form a ribosome-associated complex that binds the ribosome via the Zuo1p subu",0.032951,0.03403,0.026233,-4.923533941,-4.877049038,-5.252473386,31,0.011409643,-5.017685455,-4.497950576
YLR449W,YLR449W,">YLR449W FPR4 SGDID:S000004441, Chr XII from 1030834-1032012, Genome Release 64-1-1, Verified ORF, Peptidyl-prolyl cis-trans isomerase (PPIase) (proline isomerase) localized to the nucleus; catalyzes isomerization of proline residues in histones H3 and H4",0.04864,0.028844,0.021182,-4.361712961,-5.115584943,-5.561017375,32,0.011777696,-5.01277176,-4.49303688
YPL048W,YPL048W,">YPL048W CAM1 SGDID:S000005969, Chr XVI from 464401-465648, Genome Release 64-1-1, Verified ORF, Nuclear protein required for transcription of MXR1; binds the MXR1 promoter in the presence of other nuclear factors; binds calcium and phospholipids; has sim",0.026619,0.036211,0.031401,-5.231399815,-4.787428171,-4.993045686,33,0.012145749,-5.003957891,-4.484223011
YER126C,YER126C,">YER126C NSA2 SGDID:S000000928, Chr V from 414179-413394, Genome Release 64-1-1, reverse complement, Verified ORF, Protein constituent of 66S pre-ribosomal particles, contributes to processing of the 27S pre-rRNA",0.045132,0.027659,0.024516,-4.469705478,-5.176107192,-5.35013258,34,0.012513802,-4.998648417,-4.478913537
YJL200C,YJL200C,">YJL200C ACO2 SGDID:S000003736, Chr X from 58813-56444, Genome Release 64-1-1, reverse complement, Verified ORF, Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on gl",0.032245,0.032363,0.030385,-4.95478072,-4.94951084,-5.040496898,35,0.012881855,-4.981596153,-4.461861273
YMR235C,YMR235C,">YMR235C RNA1 SGDID:S000004848, Chr XIII from 742735-741512, Genome Release 64-1-1, reverse complement, Verified ORF, GTPase activating protein (GAP) for Gsp1p, involved in nuclear transport",0.02742,0.030833,0.038721,-5.188627619,-5.019380922,-4.690739978,36,0.013249908,-4.966249506,-4.446514627
YER006W,YER006W,">YER006W NUG1 SGDID:S000000808, Chr V from 162723-164285, Genome Release 64-1-1, Verified ORF, GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus",0.020679,0.050154,0.032306,-5.595689769,-4.317491423,-4.952054057,37,0.013617961,-4.955078416,-4.435343537
YPL226W,YPL226W,">YPL226W NEW1 SGDID:S000006147, Chr XVI from 121767-125357, Genome Release 64-1-1, Verified ORF, ATP binding cassette protein that cosediments with polysomes and is required for biogenesis of the small ribosomal subunit; Asn/Gln-rich rich region supports ",0.022815,0.040244,0.037617,-5.453873536,-4.635082483,-4.732471393,38,0.013986014,-4.940475804,-4.420740925
YFR010W,YFR010W,">YFR010W UBP6 SGDID:S000001906, Chr VI from 165067-166566, Genome Release 64-1-1, Verified ORF, Ubiquitin-specific protease situated in the base subcomplex of the 26S proteasome, releases free ubiquitin from branched polyubiquitin chains; works in opposit",0.044944,0.028454,0.028142,-4.47572766,-5.135224712,-5.151131328,39,0.014354067,-4.920694567,-4.400959687
YHR205W,YHR205W,">YHR205W SCH9 SGDID:S000001248, Chr VIII from 509363-511837, Genome Release 64-1-1, Verified ORF, Protein kinase involved in transcriptional activation of osmostress-responsive genes; regulates G1 progression, cAPK activity, nitrogen activation of the FGM",0.011889,0.023622,0.12855,-6.394228817,-5.403725071,-2.959598485,40,0.01472212,-4.919184124,-4.399449245
YNR053C,YNR053C,">YNR053C NOG2 SGDID:S000005336, Chr XIV from 721770-721120,723112-722303, Genome Release 64-1-1, reverse complement, Verified ORF, Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export an",0.020643,0.055336,0.03211,-5.59820354,-4.175637828,-4.960833525,41,0.015090173,-4.911558298,-4.391823418
YBR072W,YBR072W,">YBR072W HSP26 SGDID:S000000276, Chr II from 382030-382674, Genome Release 64-1-1, Verified ORF, Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; oligomer activatio",0.01351,0.048864,0.05598,-6.209828515,-4.355084223,-4.158944703,42,0.015458226,-4.90795248,-4.388217601
YDR257C,YDR257C,">YDR257C RKM4 SGDID:S000002665, Chr IV from 971474-969990, Genome Release 64-1-1, reverse complement, Verified ORF, Ribosomal lysine methyltransferase specific for monomethylation of Rpl42ap and Rpl42bp (lysine 55); nuclear SET-domain containing protein",0.017165,0.16588,0.01458,-5.864386332,-2.591788143,-6.09986547,43,0.015826279,-4.852013315,-4.332278436
YGL009C,YGL009C,">YGL009C LEU1 SGDID:S000002977, Chr VII from 478652-476313, Genome Release 64-1-1, reverse complement, Verified ORF, Isopropylmalate isomerase, catalyzes the second step in the leucine biosynthesis pathway",0.031562,0.034468,0.041574,-4.985667562,-4.858598601,-4.588174628,44,0.016194332,-4.810813597,-4.291078717
YLR418C,YLR418C,">YLR418C CDC73 SGDID:S000004410, Chr XII from 958095-956914, Genome Release 64-1-1, reverse complement, Verified ORF, Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of certain genes",0.028666,0.031914,0.049941,-5.124515582,-4.969666747,-4.32363148,45,0.016562385,-4.805937936,-4.286203057
YLL021W,YLL021W,">YLL021W SPA2 SGDID:S000003944, Chr XII from 100947-105347, Genome Release 64-1-1, Verified ORF, Component of the polarisome, which functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall inte",0.03034,0.065132,0.024728,-5.042635104,-3.940489662,-5.33771063,46,0.016930438,-4.773611799,-4.25387692
YOR168W,YOR168W,">YOR168W GLN4 SGDID:S000005694, Chr XV from 649303-651732, Genome Release 64-1-1, Verified ORF, Glutamine tRNA synthetase, monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Glu); N-terminal domain proposed to be involve",0.036111,0.029969,0.046609,-4.791417817,-5.060385245,-4.42324763,47,0.017298491,-4.758350231,-4.238615351
YLR244C,YLR244C,">YLR244C MAP1 SGDID:S000004234, Chr XII from 626331-625168, Genome Release 64-1-1, reverse complement, Verified ORF, Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially",0.033884,0.048048,0.031664,-4.883251995,-4.37937981,-4.981012672,48,0.017666544,-4.747881492,-4.228146613
YGR187C,YGR187C,">YGR187C HGH1 SGDID:S000003419, Chr VII from 871416-870232, Genome Release 64-1-1, reverse complement, Verified ORF, Nonessential protein of unknown function; predicted to be involved in ribosome biogenesis; green fluorescent protein (GFP)-fusion protein ",0.035126,0.032283,0.047034,-4.831316892,-4.953081538,-4.410152159,49,0.018034597,-4.731516863,-4.211781984
YER165W,YER165W,">YER165W PAB1 SGDID:S000000967, Chr V from 510373-512106, Genome Release 64-1-1, Verified ORF, Poly(A) binding protein, part of the 3-end RNA-processing complex, mediates interactions between the 5 cap structure and the 3 mRNA poly(A) tail, involved in",0.049126,0.030048,0.037021,-4.347369415,-5.056587222,-4.755512324,50,0.01840265,-4.719822987,-4.200088108
YER016W,YER016W,">YER016W BIM1 SGDID:S000000818, Chr V from 188277-189311, Genome Release 64-1-1, Verified ORF, Microtubule-binding protein that together with Kar9p makes up the cortical microtubule capture site and delays the exit from mitosis when the spindle is oriente",0.030702,0.03539,0.051272,-5.025523551,-4.820514428,-4.285685015,51,0.018770703,-4.710574331,-4.190839452
YCL050C,YCL050C,">YCL050C APA1 SGDID:S000000555, Chr III from 38801-37836, Genome Release 64-1-1, reverse complement, Verified ORF, Diadenosine 5,5-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5-nucleosidyl) tetraphosphates;",0.061882,0.010352,0.088363,-4.014336365,-6.593946667,-3.50041379,52,0.019138756,-4.702898941,-4.183164061
YIL128W,YIL128W,">YIL128W MET18 SGDID:S000001390, Chr IX from 113806-116904, Genome Release 64-1-1, Verified ORF, DNA repair and TFIIH regulator, required for both nucleotide excision repair (NER) and RNA polymerase II (RNAP II) transcription; involved in telomere mainten",0.049849,0.034745,0.036459,-4.326291626,-4.847050809,-4.777581198,53,0.019506809,-4.650307878,-4.130572998
YOR051C,YOR051C,">YOR051C ETT1 SGDID:S000005577, Chr XV from 426084-424846, Genome Release 64-1-1, reverse complement, Verified ORF, Nuclear protein that inhibits replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of posit",0.073504,0.028577,0.033495,-3.766033428,-5.129001719,-4.899910438,54,0.019874862,-4.598315195,-4.078580316
YNL016W,YNL016W,">YNL016W PUB1 SGDID:S000004961, Chr XIV from 602907-604268, Genome Release 64-1-1, Verified ORF, Poly (A)+ RNA-binding protein, abundant mRNP-component protein that binds mRNA and is required for stability of many mRNAs; component of glucose deprivation i",0.041993,0.040433,0.041713,-4.573707331,-4.628322939,-4.583359115,55,0.020242915,-4.595129795,-4.075394916
YGL039W,YGL039W,">YGL039W YGL039W SGDID:S000003007, Chr VII from 423961-425007, Genome Release 64-1-1, Verified ORF, Oxidoreductase shown to reduce carbonyl compounds to chiral alcohols",0.044483,0.046023,0.037187,-4.490602101,-4.441501161,-4.749057824,56,0.020610968,-4.560387029,-4.04065215
YKL128C,YKL128C,">YKL128C PMU1 SGDID:S000001611, Chr XI from 201771-200884, Genome Release 64-1-1, reverse complement, Verified ORF, Putative phosphomutase, contains a region homologous to the active site of phosphomutases; overexpression suppresses the histidine auxotrop",0.017343,0.13428,0.032724,-5.849502712,-2.896683653,-4.933507084,57,0.020979021,-4.559897816,-4.040162937
YML125C,YML125C,">YML125C PGA3 SGDID:S000004594, Chr XIII from 21699-20761, Genome Release 64-1-1, reverse complement, Verified ORF, Putative cytochrome b5 reductase, localized to the plasma membrane; may be involved in regulation of lifespan; required for maturation of G",0.043131,0.039953,0.045861,-4.535131024,-4.645552353,-4.446588377,58,0.021347074,-4.542423918,-4.022689039
YOR056C,YOR056C,">YOR056C NOB1 SGDID:S000005582, Chr XV from 431626-430247, Genome Release 64-1-1, reverse complement, Verified ORF, Essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits; required for cleavage of the 20S pre-r",0.024955,0.032137,0.10364,-5.324527286,-4.959620931,-3.270347174,59,0.021715127,-4.51816513,-3.998430251
YGL078C,YGL078C,">YGL078C DBP3 SGDID:S000003046, Chr VII from 361859-360288, Genome Release 64-1-1, reverse complement, Verified ORF, Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis",0.034134,0.028139,0.091174,-4.872646703,-5.151285131,-3.455233719,60,0.02208318,-4.493055184,-3.973320305
YPR112C,YPR112C,">YPR112C MRD1 SGDID:S000006316, Chr XVI from 751919-749256, Genome Release 64-1-1, reverse complement, Verified ORF, Essential conserved protein that is part of the 90S preribosome; required for production of 18S rRNA and small ribosomal subunit; contains",0.041029,0.051904,0.042661,-4.607212198,-4.268010465,-4.550938406,61,0.022451233,-4.475387023,-3.955652144
YKL056C,YKL056C,">YKL056C TMA19 SGDID:S000001539, Chr XI from 334915-334412, Genome Release 64-1-1, reverse complement, Verified ORF, Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protei",0.039847,0.049404,0.047349,-4.649385079,-4.339228335,-4.400522233,62,0.022819286,-4.463045216,-3.943310337
YDR299W,YDR299W,">YDR299W BFR2 SGDID:S000002707, Chr IV from 1059627-1061231, Genome Release 64-1-1, Verified ORF, Essential protein that is a component of 90S preribosomes; may be involved in rRNA processing; multicopy suppressor of sensitivity to Brefeldin A; expression",0.041463,0.064007,0.035681,-4.592031685,-3.965626499,-4.808700141,63,0.023187339,-4.455452775,-3.935717896
YBR142W,YBR142W,">YBR142W MAK5 SGDID:S000000346, Chr II from 528317-530638, Genome Release 64-1-1, Verified ORF, Essential nucleolar protein, putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunit",0.045063,0.074252,0.029548,-4.471912828,-3.751426304,-5.080795707,64,0.023555392,-4.434711613,-3.914976734
YNL248C,YNL248C,">YNL248C RPA49 SGDID:S000005192, Chr XIV from 182608-181361, Genome Release 64-1-1, reverse complement, Verified ORF, RNA polymerase I subunit A49",0.037132,0.047198,0.057039,-4.751193166,-4.405130463,-4.131907501,65,0.023923445,-4.429410377,-3.909675497
YDR358W,YDR358W,">YDR358W GGA1 SGDID:S000002766, Chr IV from 1190059-1191732, Genome Release 64-1-1, Verified ORF, Golgi-localized protein with homology to gamma-adaptin, interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic",0.028422,0.06944,0.050839,-5.136848112,-3.848089242,-4.297920537,66,0.024291498,-4.427619297,-3.907884418
YML127W,YML127W,">YML127W RSC9 SGDID:S000004596, Chr XIII from 17064-18809, Genome Release 64-1-1, Verified ORF, Component of the RSC chromatin remodeling complex; DNA-binding protein involved in the synthesis of rRNA and in transcriptional repression and activation of ge",0.061523,0.035094,0.04813,-4.022730336,-4.832631795,-4.376919766,67,0.024659551,-4.410760632,-3.891025753
YNL281W,YNL281W,">YNL281W HCH1 SGDID:S000005225, Chr XIV from 108467-108928, Genome Release 64-1-1, Verified ORF, Heat shock protein regulator that binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of",0.068259,0.042645,0.036036,-3.872836911,-4.55147959,-4.794417309,68,0.025027604,-4.406244603,-3.886509724
YNL292W,YNL292W,">YNL292W PUS4 SGDID:S000005236, Chr XIV from 82806-84017, Genome Release 64-1-1, Verified ORF, Pseudouridine synthase, catalyzes only the formation of pseudouridine-55 (Psi55), a highly conserved tRNA modification, in mitochondrial and cytoplasmic tRNAs; ",0.061522,0.045368,0.038829,-4.022753786,-4.462181128,-4.686721637,69,0.025395657,-4.390552184,-3.870817304
YNL251C,YNL251C,">YNL251C NRD1 SGDID:S000005195, Chr XIV from 174315-172588, Genome Release 64-1-1, reverse complement, Verified ORF, RNA-binding protein, subunit of Nrd1 complex (Nrd1p-Nab3p-Sen1p); complex mediates termination of snoRNAs and cryptic unstable transcripts",0.032243,0.040038,0.087513,-4.954870206,-4.64248628,-3.514358845,70,0.02576371,-4.370571777,-3.850836898
YFL004W,YFL004W,">YFL004W VTC2 SGDID:S000001890, Chr VI from 131810-134296, Genome Release 64-1-1, Verified ORF, Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autop",0.064446,0.023315,0.076596,-3.955765373,-5.42259776,-3.706587136,71,0.026131763,-4.36165009,-3.84191521
YER125W,YER125W,">YER125W RSP5 SGDID:S000000927, Chr V from 410189-412618, Genome Release 64-1-1, Verified ORF, E3 ubiquitin ligase of the NEDD4 family; involved in regulating many cellular processes including MVB sorting, heat shock response, transcription, endocytosis, ",0.042303,0.053464,0.051486,-4.563096211,-4.22528841,-4.279676,72,0.026499816,-4.356020207,-3.836285328
YDL063C,YDL063C,">YDL063C YDL063C SGDID:S000002221, Chr IV from 340134-338272, Genome Release 64-1-1, reverse complement, Verified ORF, Protein required for biogenesis of the large ribosomal subunit; green fluorescent protein (GFP)-fusion protein localizes to the cytoplas",0.054757,0.025287,0.084578,-4.190812783,-5.305460301,-3.563573744,73,0.026867869,-4.353282276,-3.833547397
YER068W,YER068W,">YER068W MOT2 SGDID:S000000870, Chr V from 293050-294813, Genome Release 64-1-1, Verified ORF, Subunit of the CCR4-NOT complex, which has roles in transcription regulation, mRNA degradation, and post-transcriptional modifications; with Ubc4p, ubiquitinate",0.040068,0.055619,0.053726,-4.641405691,-4.168278384,-4.218235759,74,0.027235922,-4.342639944,-3.822905065
