"Protein.IDs","Majority.protein.IDs","First.Majority.protein.IDs","Fasta.headers","Ratio.H.L.MSZ20_1_P","Ratio.H.L.MSZ20_1_T","Ratio.H.L.MSZ20_2_P","Ratio.H.L.MSZ20_2_T","Ratio.H.L.MSZ20_3_P","Ratio.H.L.MSZ20_3_T","Ratio.H.L.MSZ20_4_P","Ratio.H.L.MSZ20_4_T","Ratio.MSZ20_P_T_1","Ratio.MSZ20_P_T_2","Ratio.MSZ20_P_T_3","Ratio.MSZ20_P_T_4","Log2.MSZ20_P_T_1","Log2.MSZ20_P_T_2","Log2.MSZ20_P_T_3","Log2.MSZ20_P_T_4","Log2.MSZ20_P_1","Log2.MSZ20_P_2","Log2.MSZ20_P_3","Log2.MSZ20_P_4","Log2.MSZ20_T_1","Log2.MSZ20_T_2","Log2.MSZ20_T_3","Log2.MSZ20_T_4","Log2.MSZ20_P_T_mean","Log2.MSZ20_T_mean","Log2.MSZ20_P_mean","MSZ20_P_T_count","MSZ20_P_T_p.val","MSZ20_P_T_rank","MSZ20_P_T_log10p.val"
"YKL042W","YKL042W","YKL042W","YKL042W SPC42 SGDID:S000001525, Chr XI from 358475-359566, Genome Release 64-2-1, Verified ORF, Central plaque component of spindle pole body (SPB); involved in SPB duplication, may facilitate attachment of the SPB to the nuclear membrane",0.16728,0.51389,0.13972,0.65799,0.073692,0.29344,0.092091,0.52812,0.325517134017008,0.212343652639098,0.251131406761178,0.174375142013179,-1.61919461137113,-2.23552711049194,-1.99348563001669,-2.51973370299715,-2.57966312784723,-2.83938954704195,-3.76234818085845,-3.44079602031826,-0.960468516476106,-0.603862436550003,-1.76886255084176,-0.921062317321109,-2.09198526371923,-1.06356395529724,-3.15554921901647,4,0.0016240623365803,0.00421455938697318,2.78939730519751
"YJR090C","YJR090C","YJR090C","YJR090C GRR1 SGDID:S000003850, Chr X from 594327-590872, Genome Release 64-2-1, reverse complement, Verified ORF, F-box protein component of an SCF ubiquitin-ligase complex; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1",0.09498,0.25462,0.11228,0.20039,0.11142,1.6353,0.17087,NA,0.37302647081926,0.560307400568891,0.0681342872867364,NA,-1.42265008380459,-0.835709547003306,-3.87547519990721,NA,-3.39623243357847,-3.15482712592429,-3.16591987378023,-2.54902897259805,-1.97358234977388,-2.31911757892098,0.709555326126979,NA,-2.04461161023837,-1.19438153418929,-3.06650210147026,3,0.159235385689013,0.00459770114942529,0.797960415858316
"YKL096W","YKL096W","YKL096W","YKL096W CWP1 SGDID:S000001579, Chr XI from 261132-261851, Genome Release 64-2-1, Verified ORF, Cell wall mannoprotein that localizes to birth scars of daughter cells; linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; r",0.096895,0.32568,0.10873,0.37568,0.12157,0.62097,0.11354,0.44365,0.297515966592975,0.289421848381601,0.195774353028327,0.255922461399752,-1.7489610002268,-1.78875426022568,-2.35273631453381,-1.96622132176573,-3.3674339685236,-3.20117804155244,-3.04014083807154,-3.13872744816193,-1.6184729682968,-1.41242378132676,-0.687404523537727,-1.1725061263962,-1.96416822418801,-1.22270184988937,-3.18687007407738,4,0.000749248916767016,0.00498084291187739,3.1253738762668
"YGR177C","YGR177C","YGR177C","YGR177C ATF2 SGDID:S000003409, Chr VII from 850436-848829, Genome Release 64-2-1, reverse complement, Verified ORF, Alcohol acetyltransferase; may play a role in steroid detoxification; forms volatile esters during fermentation, which is important for bre",0.10491,0.099468,0.071863,0.26742,0.085285,0.65509,0.080306,0.50476,1.05471106285439,0.26872709595393,0.130188218412737,0.15909739282035,0.0768478280514309,-1.89578629818273,-2.94132919942982,-2.65201790092783,-3.25277589301794,-3.79860702628573,-3.55156416837852,-3.63834840817326,-3.32962372106937,-1.902820728103,-0.6102349689487,-0.986330507245425,-1.85307139262224,-1.70725248134162,-3.56032387396386,4,0.0722413518952011,0.0053639846743295,1.14121413540867
"YER095W","YER095W","YER095W","YER095W RAD51 SGDID:S000000897, Chr V from 349980-351182, Genome Release 64-2-1, Verified ORF, Strand exchange protein; forms a helical filament with DNA that searches for homology; involved in the recombinational repair of double-strand breaks in DNA dur",0.092169,0.2654,0.097198,0.14135,0.13794,1.5489,0.10973,NA,0.347283345892992,0.687640608418819,0.0890567499515785,NA,-1.52581486750651,-0.540273349613946,-3.48913122693054,NA,-3.43957459168577,-3.36292956133222,-2.85788722299748,-3.18797008478681,-1.91375972417926,-2.82265621171827,0.631244003933066,NA,-1.85173981468367,-1.36839064398815,-3.21209036520057,3,0.166132297017499,0.00574712643678161,0.779545930143503
"YKL005C","YKL005C","YKL005C","YKL005C BYE1 SGDID:S000001488, Chr XI from 434877-433093, Genome Release 64-2-1, reverse complement, Verified ORF, Negative regulator of transcription elongation; contains a TFIIS-like domain that associates with chromatin and a PHD domain that interacts ",0.16219,0.21477,0.21827,1.2745,0.23552,1.3721,0.214,NA,0.755179959957163,0.171259317379364,0.171649296698491,NA,-0.405107614157454,-2.5457456147188,-2.54246414875839,NA,-2.62424322351439,-2.19581424135869,-2.0860785183798,-2.22431729826094,-2.21913560935693,0.349931373360115,0.456385630378589,NA,-1.83110579254488,-0.470939535206076,-2.28261332037845,3,0.124031800360617,0.00613026819923372,0.906466952333488
"YDL006W","YDL006W","YDL006W","YDL006W PTC1 SGDID:S000002164, Chr IV from 439909-440754, Genome Release 64-2-1, Verified ORF, Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p, inactivating osmosensing MAPK cascade; involved in Fus3p activation during pheromone response; delet",0.1032,0.15668,0.088892,0.33773,0.10722,0.35026,0.12391,0.9487,0.658667347459791,0.263204334823676,0.30611545708902,0.130610308843681,-0.60237806264013,-1.92574484526283,-1.70785220029146,-2.93665932410785,-3.2764851241262,-3.49180260288687,-3.22135405467417,-3.01263547182984,-2.67410706148607,-1.56605775762404,-1.5135018543827,-0.0759761477219938,-1.79315860807557,-1.4574107053037,-3.25056931337927,4,0.0332185883414032,0.00651340996168582,1.47861882728996
"YJR003C","YJR003C","YJR003C","YJR003C YJR003C SGDID:S000003763, Chr X from 442553-440994, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, Putative protein of unknown function; detected in highly purified mitochondria in high-throughput studies; predicted to be involved",0.056638,0.15502,0.095244,0.30237,0.090884,0.42245,0.073552,NA,0.365359308476326,0.314991566623673,0.215135518996331,NA,-1.45261213067681,-1.66661489152267,-2.21668236069124,NA,-4.14208586787475,-3.39222797845897,-3.45982985742806,-3.76509161850737,-2.68947373719794,-1.7256130869363,-1.24314749673682,NA,-1.77863646096357,-1.88607810695702,-3.68980883056729,3,0.0159787594171457,0.00689655172413793,1.79645694211856
"YIL107C","YIL107C","YIL107C","YIL107C PFK26 SGDID:S000001369, Chr IX from 165761-163278, Genome Release 64-2-1, reverse complement, Verified ORF, 6-phosphofructo-2-kinase; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate; has negligible fructose-2,6-bisphosphatase activity",0.13522,0.24785,0.13158,0.30052,0.089012,0.61086,0.12918,0.61025,0.545571918499092,0.437841075469187,0.145715875978129,0.211683736173699,-0.874158706545657,-1.19152078953264,-2.77877002498565,-2.24001766466749,-2.88661954262478,-2.92598787704206,-3.48985634612859,-2.95254536954842,-2.01246083607912,-1.73446708750942,-0.711086321142947,-0.712527704880933,-1.77111679643286,-1.29263548740311,-3.06375228383596,4,0.0283680048279636,0.00727969348659004,1.54717120783038
"YML117W","YML117W","YML117W","YML117W NAB6 SGDID:S000004585, Chr XIII from 34243-37647, Genome Release 64-2-1, Verified ORF, Putative RNA-binding protein; associates with mRNAs encoding cell wall proteins in high-throughput studies; deletion mutants display increased sensitivity to so",0.087214,0.13431,0.083824,0.21006,0.089507,0.43603,0.099614,0.58151,0.649348522075795,0.399047891078739,0.205277159828452,0.1713022991866,-0.622935077201599,-1.32536619536796,-2.28435498003377,-2.5453835797594,-3.51929644801371,-3.57649282265511,-3.48185567532656,-3.32750767327267,-2.89636137081211,-2.25112662728715,-1.19750069529279,-0.78212409351327,-1.69450995809068,-1.78177819672633,-3.47628815481701,4,0.0314901311924132,0.00766283524904215,1.50182553002645
"YDR527W","YDR527W","YDR527W","YDR527W RBA50 SGDID:S000002935, Chr IV from 1491094-1492413, Genome Release 64-2-1, Verified ORF, Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p, Rpb3, and Rpb11p; has similarity to human RPAP1",0.080611,0.29742,0.091566,0.37554,0.11932,0.39803,0.10978,0.20327,0.27103422769148,0.243824892155296,0.299776398763912,0.540069857824568,-1.88345304034648,-2.03608267624746,-1.73804128974226,-0.888782063502672,-3.6328794705918,-3.44904418901923,-3.0670922121016,-3.18731285046225,-1.74942643024533,-1.41296151277178,-1.32905092235934,-2.29853078695958,-1.63658976745972,-1.69749241308401,-3.33408218054372,4,0.00780192552915975,0.00804597701149425,2.1077981994266
"YDR006C","YDR006C","YDR006C","YDR006C SOK1 SGDID:S000002413, Chr IV from 461247-458542, Genome Release 64-2-1, reverse complement, Verified ORF, Protein of unknown function; overexpression suppresses the growth defect of mutants lacking protein kinase A activity; involved in cAMP-medi",0.18316,2.9992,0.21117,0.20513,0.17841,0.27911,0.22178,0.82048,0.0610696185649506,1.0294447423585,0.639210347174949,0.270305187207488,-4.03340135550191,0.0418663923160755,-0.645637332902505,-1.88733889715936,-2.44882362476326,-2.24352320301979,-2.48673161333945,-2.17279882497743,1.58457773073864,-2.28538959533587,-1.84109428043695,-0.285459927818071,-1.63112779831192,-0.706841518213061,-2.33796931652498,4,0.165819426119197,0.00842911877394636,0.780364592228651
"YMR273C","YMR273C","YMR273C","YMR273C ZDS1 SGDID:S000004886, Chr XIII from 813980-811233, Genome Release 64-2-1, reverse complement, Verified ORF, Protein with a role in regulating Swe1p-dependent polarized growth; involved in maintaining Cdc55p in the cytoplasm where it promotes mito",0.11893,0.25467,0.093674,0.39314,0.11027,0.62712,0.11402,0.1944,0.466996505281344,0.238271353716233,0.175835565760939,0.586522633744856,-1.09851634116685,-2.06932258161247,-2.50770118505813,-0.769741312360082,-3.07181541519499,-3.4162075183705,-3.18088774945377,-3.13264118830375,-1.97329907402813,-1.34688493675802,-0.673186564395635,-2.36289987594367,-1.61132035504939,-1.58906761278136,-3.20038796783075,4,0.0287103202543088,0.00881226053639847,1.54196196306241
"YMR285C","YMR285C","YMR285C","YMR285C NGL2 SGDID:S000004898, Chr XIII from 841691-840144, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in 5.8S rRNA processing; Ccr4p-like RNase required for correct 3-end formation of 5.8S rRNA at site E; similar to Ngl1p;",0.095078,0.18455,0.061102,0.12627,0.05641,0.27122,0.04439,0.18411,0.515188295854782,0.483899580264513,0.207986136715581,0.241105860626799,-0.956828276481546,-1.04722040706874,-2.26544072593557,-2.05226137553357,-3.39474463378539,-4.03263658644334,-4.14790525283195,-4.49362148111172,-2.43791635730384,-2.9854161793746,-1.88246452689638,-2.44136010557815,-1.58043769625486,-2.43678929228824,-4.0172269885431,4,0.0183698747446374,0.00919540229885057,1.73589380492981
"YNL225C","YNL225C","YNL225C","YNL225C CNM67 SGDID:S000005169, Chr XIV from 224469-222724, Genome Release 64-2-1, reverse complement, Verified ORF, Component of the spindle pole body outer plaque; required for spindle orientation and mitotic nuclear migration; CNM67 has a paralog, ADY3",0.10511,0.33974,0.10961,0.2398,0.11098,0.41322,0.11221,NA,0.309383646317772,0.457089241034195,0.268573641159673,NA,-1.6925311553719,-1.12945223369927,-1.89661037476183,NA,-3.25002816332173,-3.1895486698345,-3.17162838678568,-3.15572684222466,-1.55749700794983,-2.06009643613523,-1.27501801202385,NA,-1.57286458794434,-1.63087048536963,-3.19173301554164,3,0.0206162482973747,0.00957854406130268,1.68579036388234
"YOL087C","YOL087C","YOL087C","YOL087C DUF1 SGDID:S000005447, Chr XV from 158637-155287, Genome Release 64-2-1, reverse complement, Verified ORF, Ubiquitin-binding protein of unknown function; contains one WD40 repeat in a beta-propeller fold; green fluorescent protein (GFP)-fusion pro",0.090902,0.21161,0.09516,0.23117,0.10452,0.34115,0.098645,0.33108,0.429573271584519,0.411645109659558,0.306375494650447,0.297949136160445,-1.21902386448789,-1.28052700790286,-1.70662718652827,-1.7468620302143,-3.45954415323939,-3.39350091801168,-3.25814906511679,-3.34161026257668,-2.2405202887515,-2.11297391010882,-1.55152187858852,-1.59474823236238,-1.48826002228333,-1.87494107745281,-3.36320109973614,4,0.00172362733696224,0.00996168582375479,2.76355662655994
"YNL278W","YNL278W","YNL278W","YNL278W CAF120 SGDID:S000005222, Chr XIV from 113271-116453, Genome Release 64-2-1, Verified ORF, Part of the CCR4-NOT transcriptional regulatory complex; involved in controlling mRNA initiation, elongation, and degradation; CAF120 has a paralog, SKG3, th",0.077953,0.18781,0.15931,0.30548,0.09423,1.4972,0.20264,0.16626,0.415063095681806,0.52150713631007,0.062937483302164,1.21881390593047,-1.26859743093838,-0.939241100150557,-3.9899366994142,0.285477865509928,-3.68125164405707,-2.65009126620616,-3.40766974606369,-2.30300911272431,-2.41265421311869,-1.7108501660556,0.582266953350512,-2.58848697823424,-1.4780743412483,-1.5324311010145,-3.01050544226281,4,0.199649293351095,0.0103448275862069,0.699732222630992
"YLR309C","YLR309C","YLR309C","YLR309C IMH1 SGDID:S000004300, Chr XII from 751769-749034, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in vesicular transport; mediates transport between an endosomal compartment and the Golgi, contains a Golgi-localization (",0.074092,0.33201,0.073137,0.17192,0.074286,0.23764,0.10841,0.16283,0.223161952953224,0.42541298278269,0.312598889075913,0.665786402996991,-2.16383701290207,-1.23306403265038,-1.67761544363718,-0.586868687504888,-3.75453841220176,-3.7732547396594,-3.75076584487483,-3.20543025438561,-1.59070139929968,-2.54019070700903,-2.07315040123765,-2.61856156688073,-1.41534629417363,-2.20565101860677,-3.6209973127804,4,0.024295021432114,0.010727969348659,1.61448271348327
"YDR515W","YDR515W","YDR515W","YDR515W SLF1 SGDID:S000002923, Chr IV from 1473429-1474772, Genome Release 64-2-1, Verified ORF, RNA binding protein that associates with polysomes; may be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper ",0.13749,0.60009,0.13128,0.51821,0.11851,0.12882,0.1236,NA,0.229115632655102,0.253333590629282,0.919965843813073,NA,-2.12585219720257,-1.98088971179151,-0.120347796626683,NA,-2.86260140334134,-2.9292809509231,-3.07691929448357,-3.01624935164508,-0.736749206138769,-0.948391239131593,-2.95657149785688,NA,-1.40902990187359,-1.54723731437575,-2.97126275009827,3,0.160818601049904,0.0111111111111111,0.793663720101725
"YOR181W","YOR181W","YOR181W","YOR181W LAS17 SGDID:S000005707, Chr XV from 675939-677840, Genome Release 64-2-1, Verified ORF, Actin assembly factor; C-terminal WCA domain activates Arp2/3 complex-mediated nucleation of branched actin filaments and a polyproline domain which can nuclea",0.16558,2.4125,0.13855,0.11172,0.11866,0.46147,0.1896,0.20394,0.0686341968911917,1.24015395631937,0.257134808329902,0.929685201529862,-3.86492861348485,0.31051923208883,-1.95940317391927,-0.105185803477207,-2.59439967110413,-2.85152138406803,-3.07509440697682,-2.39896913065119,1.27052894238072,-3.16204061615686,-1.11569123305755,-2.29378332717398,-1.40474958969812,-1.32524655850192,-2.72999614820004,4,0.238455621524235,0.0114942528735632,0.622592434739121
"YLR371W","YLR371W","YLR371W","YLR371W ROM2 SGDID:S000004363, Chr XII from 862714-866784, Genome Release 64-2-1, Verified ORF, GDP/GTP exchange factor (GEF) for Rho1p and Rho2p; mutations are synthetically lethal with mutations in rom1, which also encodes a GEF; Rom2p localization to t",0.11593,0.59836,0.092406,0.16959,0.090442,0.14329,0.104,0.30065,0.193746239721907,0.544878825402441,0.631181519994417,0.345917179444537,-2.36775978443443,-0.875992667618467,-0.663873128767143,-1.53150143016761,-3.10867414415383,-3.43586965967871,-3.46686329412294,-3.26534456652099,-0.740914359719397,-2.55987699206024,-2.8029901653558,-1.73384313635338,-1.35978175274691,-1.9594061633722,-3.31918791611912,4,0.038179448879464,0.0118773946360153,1.41817034494013
"YGR092W","YGR092W","YGR092W","YGR092W DBF2 SGDID:S000003324, Chr VII from 668189-669907, Genome Release 64-2-1, Verified ORF, Ser/Thr kinase involved in transcription and stress response; functions as part of a network of genes in exit from mitosis; localization is cell cycle regulate",0.11691,0.17488,0.087628,0.23155,0.085328,0.2465,0.096682,0.36197,0.668515553522415,0.378440941481322,0.346158215010142,0.267099483382601,-0.580966968781711,-1.40185992038306,-1.530496508357,-1.9045509093377,-3.09652975754662,-3.51246425822882,-3.55083695664118,-3.37060887223352,-2.51556278876491,-2.11060433784576,-2.02034044828418,-1.46605796289582,-1.35446857671487,-2.02814138444766,-3.38260996116253,4,0.0166856087493775,0.0122605363984674,1.77765794413818
"YAR042W","YAR042W","YAR042W","YAR042W SWH1 SGDID:S000000081, Chr I from 192619-196185, Genome Release 64-2-1, Verified ORF, Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction; SWH1 has a paralog, OS",0.079823,0.11866,0.081942,0.24779,0.059849,0.28535,0.083113,0.15979,0.672703522669813,0.330691311190928,0.209738917119327,0.520138932348708,-0.571957281901738,-1.59644295521391,-2.25333351611463,-0.943031067327615,-3.64705168887856,-3.60925308393639,-4.06252904798763,-3.5887820380657,-3.07509440697682,-2.01281012872248,-1.809195531873,-2.64575097073808,-1.34119120513947,-2.38571275957759,-3.72690396471707,4,0.0362533539588758,0.0126436781609195,1.44065180872191
"YGL216W","YGL216W","YGL216W","YGL216W KIP3 SGDID:S000003184, Chr VII from 84885-87302, Genome Release 64-2-1, Verified ORF, Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance o",0.091162,0.11877,0.11877,0.90465,0.094169,0.13003,0.095513,0.28537,0.767550728298392,0.131288343558282,0.724209797738983,0.334698812068543,-0.381665991901595,-2.92918926271729,-0.465520399910021,-1.57906466434653,-3.45542361358715,-3.07375762168556,-3.40860398032788,-3.38815908218522,-3.07375762168556,-0.144568358968266,-2.94308358041786,-1.80909441783869,-1.33886007971886,-1.99262599472759,-3.33148607444645,4,0.110390304976624,0.0130268199233716,0.957069066824593
"YIL104C","YIL104C","YIL104C","YIL104C SHQ1 SGDID:S000001366, Chr IX from 171505-169982, Genome Release 64-2-1, reverse complement, Verified ORF, Chaperone protein; required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing; functions as an RNA mimic; forms a compl",0.078195,0.24653,0.12949,0.15334,0.079287,0.27079,0.10756,0.32313,0.31718249300288,0.844463284205034,0.292798847815651,0.332869123882029,-1.65661495169842,-0.243893396368478,-1.77201821836212,-1.58697303903264,-3.67677982911964,-2.94908740629957,-3.65677185061719,-3.21678643456394,-2.02016487742123,-2.70519400993109,-1.88475363225507,-1.6298133955313,-1.31487490136541,-2.05998147878467,-3.37485638015009,4,0.0351878617416604,0.0134099616858238,1.45360712310548
"YDR150W","YDR150W","YDR150W","YDR150W NUM1 SGDID:S000002557, Chr IV from 755628-763874, Genome Release 64-2-1, Verified ORF, Protein required for nuclear migration; component of the mitochondria-ER-cortex-ancor (MECA); required for the association of mitochondria with the cell cortex ",0.067005,0.14087,0.07226,0.77306,0.088766,0.11783,0.077693,0.099324,0.47565130971818,0.0934726929345717,0.753339556988882,0.782217792275784,-1.07202374422089,-3.41931123142519,-0.408627809319754,-0.354357742994327,-3.8995874344124,-3.79065893500437,-3.49384900221176,-3.68607156952292,-2.82756369019151,-0.371347703579178,-3.08522119289201,-3.33171382652859,-1.31358013199004,-2.40396160329782,-3.71754173528786,4,0.165848184891141,0.0137931034482759,0.780289277210975
