"Protein.IDs","Majority.protein.IDs","First.Majority.protein.IDs","Fasta.headers","Ratio.H.L.MSZ20_1_P","Ratio.H.L.MSZ20_1_T","Ratio.H.L.MSZ20_2_P","Ratio.H.L.MSZ20_2_T","Ratio.H.L.MSZ20_3_P","Ratio.H.L.MSZ20_3_T","Ratio.H.L.MSZ20_4_P","Ratio.H.L.MSZ20_4_T","Ratio.MSZ20_P_T_1","Ratio.MSZ20_P_T_2","Ratio.MSZ20_P_T_3","Ratio.MSZ20_P_T_4","Log2.MSZ20_P_T_1","Log2.MSZ20_P_T_2","Log2.MSZ20_P_T_3","Log2.MSZ20_P_T_4","Log2.MSZ20_P_1","Log2.MSZ20_P_2","Log2.MSZ20_P_3","Log2.MSZ20_P_4","Log2.MSZ20_T_1","Log2.MSZ20_T_2","Log2.MSZ20_T_3","Log2.MSZ20_T_4","Log2.MSZ20_P_T_mean","Log2.MSZ20_T_mean","Log2.MSZ20_P_mean","MSZ20_P_T_count","MSZ20_P_T_p.val","MSZ20_P_T_rank","MSZ20_P_T_log10p.val","Hits"
"YGL001C","YGL001C","YGL001C","YGL001C ERG26 SGDID:S000002969, Chr VII from 496502-495453, Genome Release 64-2-1, reverse complement, Verified ORF, C-3 sterol dehydrogenase; catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol ",0.21319,0.090541,0.18232,0.093768,0.24564,0.1635,0.22394,0.092986,2.35462387205796,1.94437334698405,1.50238532110092,2.40831953197255,1.23549662193787,0.95930526324783,0.587254872471759,1.26802681926096,-2.22978832700023,-2.45545526517151,-2.02538258669225,-2.15881585054024,-3.4652849489381,-3.41476052841934,-2.612637459164,-3.4268426698012,1.01252089422961,-3.22988140158066,-2.21736050735106,4,0.00766641657414596,0.759386973180077,2.11540758595076,"Hits"
"YEL002C","YEL002C","YEL002C","YEL002C WBP1 SGDID:S000000728, Chr V from 150014-148722, Genome Release 64-2-1, reverse complement, Verified ORF, Beta subunit of the oligosaccharyl transferase glycoprotein complex; required for N-linked glycosylation of proteins in the endoplasmic retic",0.16888,0.10441,0.24974,0.10643,0.24479,0.11708,0.22144,0.10556,1.61746959103534,2.34651883867331,2.09079262043047,2.09776430466086,0.69373858932758,1.23052204287266,1.06404997234657,1.06885259231046,-2.56592961108966,-2.00150118359337,-2.03038347168149,-2.17501224680009,-3.25966820041724,-3.23202322646603,-3.09443344402806,-3.24386483911054,1.01429079921432,-3.20749742750547,-2.19320662829115,4,0.00296665552096866,0.759770114942529,2.52773287971213,"Hits"
"YCL031C","YCL031C","YCL031C","YCL031C RRP7 SGDID:S000000536, Chr III from 65568-64675, Genome Release 64-2-1, reverse complement, Verified ORF, Essential protein involved in rRNA processing and ribosome biogenesis; protein abundance increases in response to DNA replication stress",0.24875,0.082307,0.12914,0.088608,0.16387,0.085604,0.1388,0.069326,3.02222168223845,1.4574304803178,1.91427970655577,2.00213484118513,1.59560948715273,0.543427068267781,0.936801645800074,1.00153914108605,-2.00723156923108,-2.95299216268946,-2.60937633326719,-2.84892052697119,-3.60284105638381,-3.49641923095724,-3.54617797906727,-3.85045966805724,1.01934433557666,-3.62397448361639,-2.60463014803973,4,0.0182758720700798,0.760919540229885,1.73812189063892,"Hits"
"YNL104C","YNL104C","YNL104C","YNL104C LEU4 SGDID:S000005048, Chr XIV from 426754-424895, Genome Release 64-2-1, reverse complement, Verified ORF, Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pa",0.14391,0.1035,0.15688,0.067189,0.15649,0.081643,0.19432,0.070991,1.3904347826087,2.33490601140068,1.91675955072695,2.73724838359792,0.475536077648595,1.22336447729457,0.93866936844521,1.45272635378439,-2.79676124951417,-2.67226665424466,-2.67585762566144,-2.36349369980095,-3.27229732716276,-3.89563113153924,-3.61452699410665,-3.81622005358534,1.02257406929319,-3.6496688765985,-2.6270948073053,4,0.016652040948163,0.761302681992337,1.7785325298331,"Hits"
"YNL147W","YNL147W","YNL147W","YNL147W LSM7 SGDID:S000005091, Chr XIV from 350940-350957,351054-351383, Genome Release 64-2-1, Verified ORF, Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nu",0.10692,0.050837,0.10936,0.055424,0.1051,0.055646,0.13856,0.063674,2.10319255660247,1.97315242494226,1.88872515544693,2.17608443006565,1.07258094124333,0.980502407766697,0.917412778103939,1.12173453290902,-3.22539635219373,-3.19284294683075,-3.25016542558727,-2.85141725971009,-4.29797729343706,-4.17334535459745,-4.16757820369121,-3.9731517926191,1.02305766500575,-4.15301316108621,-3.12995549608046,4,0.00019632666117555,0.761685823754789,3.70702071917133,"Hits"
"YOR356W","YOR356W","YOR356W","YOR356W CIR2 SGDID:S000005883, Chr XV from 1007221-1009116, Genome Release 64-2-1, Verified ORF, Putative ortholog of human ETF-dH; found in a large supramolecular complex with other mitochondrial dehydrogenases; may have a role in oxidative stress respon",0.24179,0.15802,0.25208,0.13264,0.27942,0.11419,0.36633,0.15248,1.53012276926971,1.90048250904704,2.4469743410106,2.40247901364113,0.613647412075345,0.926365747521789,1.29099897338671,1.26452382868972,-2.04817351634144,-1.98804643541927,-1.83949280689533,-1.44878424183715,-2.66182092841678,-2.91441218294106,-3.13049178028204,-2.71330807052687,1.02388399041839,-2.85500824054169,-1.8311242501233,4,0.00772469784071003,0.762068965517241,2.11211849943436,"Hits"
"YFL041W","YFL041W","YFL041W","YFL041W FET5 SGDID:S000001853, Chr VI from 49139-51007, Genome Release 64-2-1, Verified ORF, Multicopper oxidase; integral membrane protein with similarity to Fet3p; may have a role in iron transport",0.24859,0.13545,0.21117,0.11815,0.28326,0.11704,0.32032,0.14861,1.83528977482466,1.78730427422768,2.4201982228298,2.15544041450777,0.876007868898015,0.83778526255581,1.27512521418666,1.10798268087301,-2.00815983244942,-2.24352320301979,-1.81980120611166,-1.64241421560082,-2.88416770134743,-3.0813084655756,-3.09492642029832,-2.75039689647383,1.02422525662837,-2.9526998709238,-1.92847461429542,4,0.00214848763500546,0.762452107279693,2.66786714142823,"Hits"
"YMR229C","YMR229C","YMR229C","YMR229C RRP5 SGDID:S000004842, Chr XIII from 731123-725934, Genome Release 64-2-1, reverse complement, Verified ORF, RNA binding protein involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and",0.11698,0.050691,0.11916,0.051954,0.11887,0.048062,0.13133,0.0999,2.3077074825906,2.29356738653424,2.47326370105281,1.31461461461461,1.20646036429479,1.19759329538176,1.30641606905217,0.394639928740075,-3.09566620069615,-3.06902806618728,-3.07254343625714,-2.92873158301696,-4.30212656499094,-4.26662136156904,-4.37895950530931,-3.32337151175703,1.0262774143672,-4.06776973590658,-3.04149232153938,4,0.0168117548024231,0.763218390804598,1.7743869527572,"Hits"
"YBL036C","YBL036C","YBL036C","YBL036C YBL036C SGDID:S000000132, Chr II from 151220-150447, Genome Release 64-2-1, reverse complement, Verified ORF, Putative non-specific single-domain racemase; based on structural similarity; binds pyridoxal 5-phosphate; expression of GFP-fusion prot",0.14335,0.05129,0.10731,0.053442,0.13273,0.070168,0.20346,0.12502,2.79489179177228,2.00797125856068,1.89160300991905,1.62741961286194,1.48279242815057,1.00573861917478,0.919609342526791,0.70258628256776,-2.80238619030893,-3.22014357072043,-2.91343360541792,-2.29718290469022,-4.28517861845949,-4.22588218989521,-3.83304294794471,-2.99976918725798,1.02768166810497,-3.83596823588935,-2.80828656778437,4,0.00828306482444891,0.76360153256705,2.0818089397771,"Hits"
"YCR035C","YCR035C","YCR035C","YCR035C RRP43 SGDID:S000000631, Chr III from 193018-191834, Genome Release 64-2-1, reverse complement, Verified ORF, Exosome non-catalytic core component; involved in 3-5 RNA processing and degradation in both the nucleus and the cytoplasm; has similari",0.24748,0.1628,0.28389,0.16343,0.32564,0.12529,0.28795,0.11334,1.52014742014742,1.73707397662608,2.59909011094261,2.5405858478913,0.604211239460028,0.796659195291249,1.37800665318541,1.34516121447395,-2.01461615582317,-1.81659606373453,-1.61865017090599,-1.79610977285334,-2.6188273952832,-2.61325525902578,-2.9966568240914,-3.14127098732729,1.03100957560266,-2.84250261643192,-1.81149304082926,4,0.0131929247689298,0.764367816091954,1.87965891406708,"Hits"
"YOR224C","YOR224C","YOR224C","YOR224C RPB8 SGDID:S000005750, Chr XV from 761265-760825, Genome Release 64-2-1, reverse complement, Verified ORF, RNA polymerase subunit ABC14.5; common to RNA polymerases I, II, and III",0.19721,0.087521,0.21666,0.1782,0.24446,0.084867,0.21296,0.096028,2.2532877823608,1.21582491582492,2.88050714647625,2.2176865081018,1.17203158151423,0.281935489260512,1.52632283711694,1.14905544071512,-2.34219538604869,-2.20649526876702,-2.03232967274717,-2.23134561852492,-3.51422696756292,-2.48843075802753,-3.55865250986411,-3.38040105924004,1.0323363371517,-3.23542782367365,-2.20309148652195,4,0.0298959367136721,0.764750957854406,1.52438783450991,"Hits"
"YOR336W","YOR336W","YOR336W","YOR336W KRE5 SGDID:S000005863, Chr XV from 949773-953870, Genome Release 64-2-1, Verified ORF, Protein required for beta-1,6 glucan biosynthesis; mutations result in aberrant morphology and severe growth defects",0.1903,0.11643,0.28546,0.15773,0.291,0.13469,0.37566,0.13709,1.63445847290217,1.80980155962721,2.16051674214864,2.74024363556788,0.70881272265478,0.855831517951239,1.1113764106181,1.45430416917102,-2.39365253327543,-1.80863949236261,-1.7809089417538,-1.41250058783466,-3.10246525593021,-2.66447101031385,-2.8922853523719,-2.86680475700568,1.03258120509878,-2.88150659390541,-1.84892538880663,4,0.00800034746928503,0.765134099616858,2.09689115041855,"Hits"
"YOR151C","YOR151C","YOR151C","YOR151C RPB2 SGDID:S000005677, Chr XV from 616671-612997, Genome Release 64-2-1, reverse complement, Verified ORF, RNA polymerase II second largest subunit B150; part of central core; similar to bacterial beta subunit",0.17315,0.10515,0.18386,0.10423,0.18592,0.077765,0.22087,0.087219,1.64669519733714,1.7639834980332,2.39079277309844,2.53236106811589,0.719573537465449,0.818837064627275,1.25748908689623,1.34048312121265,-2.52990570735222,-2.44332044916983,-2.42724612103228,-2.1787306191115,-3.24947924481767,-3.26215751379711,-3.68473520792851,-3.51921374032415,1.0340957025504,-3.42889642671686,-2.39480072416646,4,0.00689142321470828,0.76551724137931,2.1616910784602,"Hits"
"YKL150W","YKL150W","YKL150W","YKL150W MCR1 SGDID:S000001633, Chr XI from 166544-167452, Genome Release 64-2-1, Verified ORF, Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis",0.14536,0.066472,0.15129,0.064989,0.22871,0.097546,0.18874,0.12704,2.18678541340715,2.3279324193325,2.34463740184118,1.48567380352645,1.12881165742197,1.21904917692788,1.22936482721246,0.571117390645039,-2.7822977702027,-2.72461146375833,-2.12840864809271,-2.40552788664882,-3.91110942762466,-3.94366064068621,-3.35777347530517,-2.97664527729385,1.03708576305183,-3.54729720522747,-2.51021144217564,4,0.00705765369499374,0.765900383141762,2.15133965541826,"Hits"
"YDR129C","YDR129C","YDR129C","YDR129C SAC6 SGDID:S000002536, Chr IV from 715247-713340,715379-715359, Genome Release 64-2-1, reverse complement, Verified ORF, Fimbrin, actin-bundling protein; cooperates with Scp1p (calponin/transgelin) in the organization and maintenance of the actin ",0.16743,0.076192,0.18432,0.094609,0.17453,0.084035,0.2121,0.10635,2.19747480050399,1.94822902683677,2.07687273159993,1.99435825105783,1.13584662138853,0.962163285459076,1.05441281217908,0.995924587569883,-2.57837004266531,-2.4397154729945,-2.51845305196971,-2.23718347401889,-3.71421666405384,-3.40187875845358,-3.57286586414879,-3.23310806158878,1.03708682664914,-3.48051733706125,-2.4434305104121,4,0.000108277265654067,0.766283524904215,3.9654627200824,"Hits"
"YBR170C","YBR170C","YBR170C","YBR170C NPL4 SGDID:S000000374, Chr II from 578086-576344, Genome Release 64-2-1, reverse complement, Verified ORF, Substrate-recruiting cofactor of the Cdc48p-Npl4p-Ufd1p segregase; assists Cdc48p in the dislocation of misfolded, polyubiquitinated ERAD su",0.29313,0.11458,0.26721,0.16513,0.31796,0.13862,0.32604,0.17365,2.55829987781463,1.61817961606007,2.29375270523734,1.87756982435934,1.35518538340602,0.694371754131901,1.1977098594622,0.908866560673677,-1.7703874685986,-1.90395409500784,-1.65308281186629,-1.61687912349368,-3.12557285200461,-2.59832584913975,-2.85079267132849,-2.52574568416736,1.03903338941845,-2.77510926416005,-1.7360758747416,4,0.00587240334858325,0.767049808429119,2.23118412236175,"Hits"
"YCR084C","YCR084C","YCR084C","YCR084C TUP1 SGDID:S000000680, Chr III from 262452-260311, Genome Release 64-2-1, reverse complement, Verified ORF, General repressor of transcription; forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through inter",0.11395,0.063571,0.12773,0.071235,0.1374,0.061193,0.15279,0.061689,1.79248399427412,1.79307924475328,2.2453548608501,2.47677868015367,0.841960236648547,0.842439249213667,1.16694346970191,1.3084649580836,-3.13352717028415,-2.96883068364365,-2.86354609073135,-2.71037797181812,-3.9754874069327,-3.81126993285732,-4.03048956043326,-4.01884292990172,1.03995197841193,-3.95902245753125,-2.91907047911932,4,0.00306085022165178,0.767432950191571,2.51415792146494,"Hits"
"YOR175C","YOR175C","YOR175C","YOR175C ALE1 SGDID:S000005701, Chr XV from 661674-659815, Genome Release 64-2-1, reverse complement, Verified ORF, Broad-specificity lysophospholipid acyltransferase; part of MBOAT family of membrane-bound O-acyltransferases; key component of Lands cycle;",0.19709,0.11912,NA,0.12225,0.17769,0.093943,0.37101,0.13331,1.65455003357958,NA,1.89146610178512,2.78306203585627,0.726438919396431,NA,0.919504921127062,1.47667306742795,-2.34307351645828,NA,-2.49256560292066,-1.43047002190657,-3.06951243585471,-3.03209362970985,-3.41207052404772,-2.90714308933452,1.04087230265048,-3.1052049197367,-2.08870304709517,3,0.0436570595986643,0.767816091954023,1.35994551835382,"Hits"
"YBR126C","YBR126C","YBR126C","YBR126C TPS1 SGDID:S000000330, Chr II from 490392-488905, Genome Release 64-2-1, reverse complement, Verified ORF, Synthase subunit of trehalose-6-P synthase/phosphatase complex; synthesizes the storage carbohydrate trehalose; also found in a monomeric fo",0.23139,0.10659,0.20474,0.098081,0.22872,0.1051,0.24687,0.13549,2.17084154235857,2.08745832526177,2.17621313035205,1.82205328806554,1.11825442222359,1.06174739541264,1.12181985578156,0.865565153049779,-2.11160157816084,-2.28813510603806,-2.12834556980571,-2.01817656614622,-3.22985600038443,-3.3498825014507,-3.25016542558727,-2.883741719196,1.04184670661689,-3.1784114116546,-2.13656470503771,4,0.000423510138343052,0.768199233716475,3.37313618870106,"Hits"
"YCR042C","YCR042C","YCR042C","YCR042C TAF2 SGDID:S000000638, Chr III from 205397-201174, Genome Release 64-2-1, reverse complement, Verified ORF, TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation",0.29957,NA,0.3065,0.15586,0.26939,0.10834,0.37334,0.20893,NA,1.96650840497883,2.48652390622116,1.78691427750921,NA,0.975636352462039,1.31413030173022,0.837470426556959,-1.73903494044418,-1.70604102097131,-1.89223179723554,-1.42143800625685,NA,-2.68167737343334,-3.20636209896576,-2.25890843281381,1.04241236024974,-2.71564930173764,-1.68968644122697,3,0.01795484583083,0.768582375478927,1.74581831958872,"Hits"
"YKR059W;YJL138C","YKR059W;YJL138C","YKR059W","YKR059W TIF1 SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF4A; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two comp",0.10367,0.054602,0.11648,0.057941,0.12872,0.058647,0.14409,0.066732,1.89864840115747,2.01032084361678,2.19482667485123,2.15923395072829,0.924972766534895,1.00742577133231,1.13410701483774,1.11051956632008,-3.26992962709036,-3.10184583423812,-2.95769186371337,-2.79495788047824,-4.19490239362525,-4.10927160557043,-4.09179887855111,-3.90547744679832,1.04425627975626,-4.07536258113628,-3.03110630138002,4,0.000217176581368103,0.768965517241379,3.66318700749454,"Hits"
"YDR333C","YDR333C","YDR333C","YDR333C RQC1 SGDID:S000002741, Chr IV from 1135431-1133260, Genome Release 64-2-1, reverse complement, Verified ORF, Component of the ribosome quality control complex (RQC); RQC (Rqc1p-Rkr1p-Tae2p-Cdc48p-Npl4p-Ufd1p) is a ribosome-bound complex required f",0.32999,0.12169,0.2807,0.15251,0.31224,0.11501,0.21416,0.15974,2.71172651820199,1.84053504688217,2.71489435701243,1.34067860272944,1.43921168779261,0.880125221323013,1.44089606043127,0.422963425294492,-1.59950578911022,-1.83289903103692,-1.67927272699786,-2.22323905079603,-3.03871747690283,-2.71302425235994,-3.12016878742913,-2.64620247609053,1.04579909871035,-2.87952824819561,-1.83372914948526,4,0.0238554050177766,0.769348659003831,1.62241320557782,"Hits"
"YIL015W","YIL015W","YIL015W","YIL015W BAR1 SGDID:S000001277, Chr IX from 322342-324105, Genome Release 64-2-1, Verified ORF, Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing ce",0.17503,0.095085,0.20985,0.08651,0.21028,0.11792,0.28798,0.12606,1.84077404427617,2.42573112934921,1.78324287652646,2.28446771378709,0.880312546183305,1.278419649448,0.834503210476806,1.19185805318834,-2.51432587487625,-2.25256963166354,-2.24961645486494,-1.79595947385427,-3.39463842105956,-3.53098928111154,-3.08411966534174,-2.98781752704261,1.04627336482411,-3.24939122363886,-2.20311785881475,4,0.00252096855147871,0.769731800766284,2.59843257201671,"Hits"
"YML026C;YDR450W","YML026C;YDR450W","YML026C","YML026C RPS18B SGDID:S000004488, Chr XIII from 223380-222987,223828-223782, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; R",0.10295,0.049665,0.10534,0.060565,0.1277,0.060661,0.15666,0.06508,2.07288835195812,1.73928836786923,2.10514168905887,2.40719114935464,1.05164241340146,0.798497146218445,1.07391733886091,1.26735070736147,-3.2799842649172,-3.24687473028285,-2.96916956984673,-2.67429123140281,-4.33162667831866,-4.0453718765013,-4.04308690870764,-3.94164193876428,1.04785190146057,-4.09043185057297,-3.0425799491124,4,0.00165600544157602,0.770498084291188,2.7809382404723,"Hits"
"YDR064W","YDR064W","YDR064W","YDR064W RPS13 SGDID:S000002471, Chr IV from 579458-579478,580018-580452, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S13 and bacterial S15",0.075438,0.053122,0.094027,0.044758,0.10668,0.044023,0.14379,0.056663,1.42008960506005,2.10078645158407,2.42327874065829,2.53763478813335,0.505981964023795,1.07092951712814,1.27696036212988,1.34348445402474,-3.72856476175124,-3.41078110135791,-3.22863836488589,-2.79796474909669,-4.23454672577504,-4.48171061848605,-4.50559872701577,-4.14144920312143,1.04933907432664,-4.34082631859957,-3.29148724427293,4,0.0117253788854572,0.771264367816092,1.93087311490672,"Hits"
